_name_key,_unit_key,_factor_key,duplicate_group_rows,duplicate_sources,duplicate_years,duplicate_source_depts,duplicate_group_key
廢溶劑（A、C、D類）蒸餾回收處理服務,kg,0.8132,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,廢溶劑（A、C、D類）蒸餾回收處理服務 | kg | 0.8132
早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率22％),m3,464.0,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率22％) | m3 | 464.0
早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率45％),m3,336.0,2,MOENV CFP | Taiwan EPA,2017,公路總局蘇花公路改善工程處,早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率45％) | m3 | 336.0
猴頭菇素火腿,條,2.43,2,MOENV CFP | Taiwan EPA,2016,台南市政府環境保護局,猴頭菇素火腿 | 條 | 2.43
晶片電阻,kg,170.0,2,MOENV CFP | Taiwan EPA,2017,環境部,晶片電阻 | kg | 170.0
有害事業廢棄物穩定化/固化處理服務,kg,0.29,2,MOENV CFP | Taiwan EPA,2015,環境部,有害事業廢棄物穩定化/固化處理服務 | kg | 0.29
有機三星蔥,kg,0.558,2,MOENV CFP | Taiwan EPA,2017,宜蘭縣政府環境保護局,有機三星蔥 | kg | 0.558
有機全麥粉,kg,1.39,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機全麥粉 | kg | 1.39
有機小麥粉,kg,1.4,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機小麥粉 | kg | 1.4
有機裸麥土司(常溫),kg,1.66,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機裸麥土司(常溫) | kg | 1.66
有機越光米,kg,1.59,2,MOENV CFP | Taiwan EPA,2017,宜蘭縣政府環境保護局,有機越光米 | kg | 1.59
有機麩皮胚芽粉,kg,1.36,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機麩皮胚芽粉 | kg | 1.36
木漿(針葉樹化學木漿-半漂白或已漂白),kg,0.93,2,MOENV CFP | Taiwan EPA,2016,經濟部工業局,木漿(針葉樹化學木漿-半漂白或已漂白) | kg | 0.93
未塗布印刷書寫用紙,kg,1.377,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,未塗布印刷書寫用紙 | kg | 1.377
