name,emission_factor,unit_standard,unit_original,source,region,category,base_year,source_dept,tier,search_text
伸縮膜(LLDPE),3.69,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,伸縮膜(LLDPE) kg 台灣 環保署
苯乙烯-乙烯/丁烯-苯乙烯熱塑性彈性體,4.74,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,苯乙烯-乙烯/丁烯-苯乙烯熱塑性彈性體 kg 台灣 環保署
標籤紙(PET),0.0135,piece,張,Taiwan EPA,TW,Taiwan Local,2023,環境部,1,標籤紙(PET) piece 台灣 環保署
高密度聚乙烯(HDPE),2.21,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,高密度聚乙烯(HDPE) kg 台灣 環保署
聚丙烯(PP),1.95,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,聚丙烯(PP) kg 台灣 環保署
紙棧板,1.01,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,紙棧板 kg 台灣 環保署
角紙,1.02,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,角紙 kg 台灣 環保署
裱面紙板,1.6,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,裱面紙板 kg 台灣 環保署
瓦楞芯紙,0.988,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞芯紙 kg 台灣 環保署
牛皮紙,1.22,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,牛皮紙 kg 台灣 環保署
瓦楞紙板(B楞),0.813,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞紙板(B楞) kg 台灣 環保署
瓦楞紙板(A楞),1.06,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞紙板(A楞) kg 台灣 環保署
瓦楞紙板(AB楞),1.3,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞紙板(AB楞) kg 台灣 環保署
單層瓦楞紙箱(加權平均),1.1,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(加權平均) m2 台灣 環保署
單層瓦楞紙箱(B楞，貼箱),1.03,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(B楞，貼箱) m2 台灣 環保署
單層瓦楞紙箱(B楞，釘箱),0.895,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(B楞，釘箱) m2 台灣 環保署
單層瓦楞紙箱(A楞，貼箱),1.11,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(A楞，貼箱) m2 台灣 環保署
單層瓦楞紙箱(A楞，釘箱),1.21,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(A楞，釘箱) m2 台灣 環保署
雙層瓦楞紙箱(AB楞，加權平均),1.46,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,雙層瓦楞紙箱(AB楞，加權平均) m2 台灣 環保署
雙層瓦楞紙箱(AB楞，貼箱),1.33,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,雙層瓦楞紙箱(AB楞，貼箱) m2 台灣 環保署
雙層瓦楞紙箱(AB楞，釘箱),1.69,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,雙層瓦楞紙箱(AB楞，釘箱) m2 台灣 環保署
濃硫酸,0.289,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,濃硫酸 kg 台灣 環保署
偏矽酸鈉,0.887,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,偏矽酸鈉 kg 台灣 環保署
AOS界面活性劑,1.4,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,AOS界面活性劑 kg 台灣 環保署
硫酸酯鹽界面活性劑,1.06,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,硫酸酯鹽界面活性劑 kg 台灣 環保署
焊帶(太陽光電模組材料),12.0,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,經濟部標準檢驗局,1,焊帶(太陽光電模組材料) kg 台灣 環保署
單結晶矽電池太陽光電模組(60片6吋)-半切割型(120子片),377.0,片,片,Taiwan EPA,TW,Taiwan Local,2023,經濟部標準檢驗局,1,單結晶矽電池太陽光電模組(60片6吋)-半切割型(120子片) 片 台灣 環保署
太陽光電電場發電,0.00961,kwh,度(kwh),Taiwan EPA,TW,Taiwan Local,2023,經濟部標準檢驗局,1,太陽光電電場發電 kwh 台灣 環保署
潤滑油(未燃燒，2021),1.09,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,潤滑油(未燃燒，2021) kg 台灣 環保署
煤油(未燃燒，2021),0.353,l,公升(L),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,煤油(未燃燒，2021) l 台灣 環保署
