name,emission_factor,unit_standard,unit_original,source,region,category,base_year,source_dept,tier,search_text,duplicate_group_key,alternate_version_count,duplicate_sources,duplicate_years,dedupe_note
伸縮膜(LLDPE),3.69,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,伸縮膜(LLDPE) kg 台灣 環保署,伸縮膜(LLDPE) | kg | 3.69,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
苯乙烯-乙烯/丁烯-苯乙烯熱塑性彈性體,4.74,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,苯乙烯-乙烯/丁烯-苯乙烯熱塑性彈性體 kg 台灣 環保署,苯乙烯-乙烯/丁烯-苯乙烯熱塑性彈性體 | kg | 4.74,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
標籤紙(PET),0.0135,piece,張,Taiwan EPA,TW,Taiwan Local,2023,環境部,1,標籤紙(PET) piece 台灣 環保署,標籤紙(PET) | piece | 0.0135,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
高密度聚乙烯(HDPE),2.21,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,高密度聚乙烯(HDPE) kg 台灣 環保署,高密度聚乙烯(HDPE) | kg | 2.21,0,Taiwan EPA,2023,
聚丙烯(PP),1.95,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,聚丙烯(PP) kg 台灣 環保署,聚丙烯(PP) | kg | 1.95,0,Taiwan EPA,2023,
紙棧板,1.01,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,紙棧板 kg 台灣 環保署,紙棧板 | kg | 1.01,0,Taiwan EPA,2023,
角紙,1.02,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,角紙 kg 台灣 環保署,角紙 | kg | 1.02,0,Taiwan EPA,2023,
裱面紙板,1.6,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,裱面紙板 kg 台灣 環保署,裱面紙板 | kg | 1.6,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
瓦楞芯紙,0.988,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞芯紙 kg 台灣 環保署,瓦楞芯紙 | kg | 0.988,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
牛皮紙,1.22,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,牛皮紙 kg 台灣 環保署,牛皮紙 | kg | 1.22,0,Taiwan EPA,2023,
瓦楞紙板(B楞),0.813,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞紙板(B楞) kg 台灣 環保署,瓦楞紙板(B楞) | kg | 0.813,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
瓦楞紙板(A楞),1.06,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞紙板(A楞) kg 台灣 環保署,瓦楞紙板(A楞) | kg | 1.06,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
瓦楞紙板(AB楞),1.3,kg,公斤(kg),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,瓦楞紙板(AB楞) kg 台灣 環保署,瓦楞紙板(AB楞) | kg | 1.3,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
單層瓦楞紙箱(加權平均),1.1,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(加權平均) m2 台灣 環保署,單層瓦楞紙箱(加權平均) | m2 | 1.1,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
單層瓦楞紙箱(B楞，貼箱),1.03,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(B楞，貼箱) m2 台灣 環保署,單層瓦楞紙箱(B楞，貼箱) | m2 | 1.03,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
單層瓦楞紙箱(B楞，釘箱),0.895,m2,平方公尺(m2),Taiwan EPA,TW,Taiwan Local,2023,環境部,1,單層瓦楞紙箱(B楞，釘箱) m2 台灣 環保署,單層瓦楞紙箱(B楞，釘箱) | m2 | 0.895,1,MOENV CFP | Taiwan EPA,2023,檢索索引已合併同名、同單位、同係數的重複列；原始資料仍保留於 tier1_unified.csv。
