Process,Category,EF3.1,kg CO2e
"Lamb, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.945,12.61
"Lamb, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.779,9.16
"Lamb, organic, system number 3, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,2.45,15.11
"Spring oat grain, organic, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,0.087,0.36
"Winter oat, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.087,0.52
"Baled hay, permanent meadow, organic, system number 1, at farm gate {FR} U",,0.046,0.11
"Baled hay, permanent meadow, organic, system number 2, at farm gate {FR} U",,0.04,0.09
"Baled hay, permanent meadow, organic, system number 3, at farm gate {FR} U",,0.054,0.09
"Baled hay, permanent meadow, organic, system number 4, at farm gate {FR} U",,-0.045,0
"Baled hay, permanent meadow, organic, system number 5, at farm gate {FR} U",,0.026,0.04
"Baled hay, permanent meadow, organic, system number 6, at farm gate {FR} U",,0.016,0
"Baled hay, permanent meadow, organic, suckler cow and beef fattening system number 1, at farm gate {FR} U",,0.017,0.05
"Baled hay, permanent meadow, organic, suckler cow and beef fattening system number 2, at farm gate {FR} U",,0.01,0.02
"Baled hay, permanent meadow, organic, suckler cow and beef fattening system number 3, at farm gate {FR} U",,0.01,0.02
"Baled hay, permanent meadow, organic, suckler cow and beef fattening system number 4, at farm gate {FR} U",,0.012,0.02
"Baled hay, temporary meadow, organic, system number 1, at farm gate {FR} U",,0.043,0.25
"Baled hay, temporary meadow, organic, system number 2, at farm gate {FR} U",,0.037,0.26
"Baled hay, temporary meadow, organic, system number 3, at farm gate {FR} U",,0.021,0.18
"Baled hay, temporary meadow, organic, system number 4, at farm gate {FR} U",,0.02,0.18
"Baled hay, temporary meadow, organic, system number 5, at farm gate {FR} U",,0.041,0.33
"Spring wheat, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.044,0.32
"Spring wheat, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.041,0.3
"Winter wheat, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.088,0.45
"Winter wheat, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.043,0.31
"Winter wheat, from intercrop, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.085,0.44
"Winter wheat, from intercrop, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.042,0.31
"Winter wheat, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.054,0.35
"Winter wheat, organic, system number 10, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.091,0.45
"Winter wheat, organic, system number 11, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.075,0.43
"Winter wheat, organic, system number 12, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.072,0.3
"Winter wheat, organic, system number 13, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.067,0.44
"Winter wheat, organic, system number 14, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.084,0.49
"Winter wheat, organic, system number 15, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.069,0.39
"Winter wheat, organic, system number 16, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.112,0.33
"Winter wheat, organic, system number 17, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.061,0.36
"Winter wheat, organic, system number 18, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.116,0.44
"Winter wheat, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.089,0.41
"Winter wheat, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.091,0.55
"Winter wheat, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.132,0.71
"Winter wheat, organic, system number 5, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.043,0.29
"Winter wheat, organic, system number 6, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.064,0.38
"Winter wheat, organic, system number 7, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.137,0.54
"Winter wheat, organic, system number 8, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.091,0.54
"Winter wheat, organic, system number 9, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.102,0.46
"Cull ewe, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.615,9.6
"Cull ewe, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,1.012,12.9
"Cull ewe, organic, system number 3, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,1.925,10.61
"Carrot, organic, Lower Normandy, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.014,0.09
"Cauliflower, winter, organic, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.046,0.28
"Winter rapeseed, organic, at farm gate {FR} U",Agricultural\Plant production\Oil seeds\Transformation,0.149,0.65
"Zucchini, springtime, under tunnel, organic, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.044,0.15
"Chicory witloof, season, organic at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.072,0.64
"Chicory witloof, season, organic, storage and forcing, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.037,0.4
"Chicory witloof, season, organic, root production, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.021,0.14
"Silage maize, organic, Switzerland national average, at feeder {FR} U",,0.045,0.18
"Silage maize, organic, stored and transported {FR} U",,0.04,0.17
"Grass silage, temporary meadow, organic, system number 1, at farm gate {FR} U",,0.056,0.3
"Grass silage, temporary meadow, organic, system number 2, at farm gate {FR} U",,0.051,0.32
"Grass silage, temporary meadow, organic, system number 3, at farm gate {FR} U",,0.07,0.41
"Grass silage, temporary meadow, organic, system number 4, at farm gate {FR} U",,0.046,0.29
"Grass silage, temporary meadow, organic, system number 5, at farm gate {FR} U",,0.038,0.26
"Spelt, organic, at farm gate {FR} U",,0.115,0.97
"Spring faba bean and spring wheat intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.05,0.36
"Spring faba bean and spring barley intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Intercrops\Transformation,0.05,0.36
"Spring faba bean, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.054,0.39
"Spring faba bean, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.054,0.39
"Spring faba bean, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.092,0.59
"Spring faba bean, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.127,0.79
"Winter faba bean and winter wheat intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.048,0.35
"Winter faba bean and winter wheat intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.091,0.39
"Winter faba bean and winter barley intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.048,0.35
"Winter faba bean, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.052,0.37
"Winter faba bean, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.072,0.37
"Winter faba bean, from intercrop, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.052,0.37
"Winter faba bean, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.108,0.6
"Winter faba bean, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.089,0.58
"Winter faba bean, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.115,0.49
"Winter faba bean, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.119,0.75
"Baled grass, permanent meadow, organic, system number 1, at farm gate {FR} U",,0.049,0.13
"Baled grass, permanent meadow, organic, system number 2, at farm gate {FR} U",,0.014,0.06
"Baled grass, permanent meadow, organic, suckler cow and beef fattening system number 1, at farm gate {FR} U",,0.006,0.05
"Baled grass, permanent meadow, organic, suckler cow and beef fattening system number 3, at farm gate {FR} U",,0.009,0.07
"Baled grass, permanent meadow, organic, suckler cow and beef fattening system number 4, at farm gate {FR} U",,0.015,0.1
"Baled grass, temporary meadow, organic, system number 3, at farm gate {FR} U",,0.038,0.26
"Grazed grass, pasture at farm, organic, system number 1, at farm gate {FR} U",,0.028,-0.11
"Grazed grass, summer pasture and pasture at farm, organic, system number 1, at farm gate {FR} U",,0.066,-0.26
"Grazed grass, summer pasture, organic, system number 1, at farm gate {FR} U",,0.077,-0.3
"Grazed grass, permanent meadow, organic, system number 1, at farm gate {FR} U",,0.044,0.09
"Grazed grass, permanent meadow, organic, system number 2, at farm gate {FR} U",,0.038,0.07
"Grazed grass, permanent meadow, organic, system number 3, at farm gate {FR} U",,0.052,0.07
"Grazed grass, permanent meadow, organic, system number 4, at farm gate {FR} U",,0.008,-0.05
"Grazed grass, permanent meadow, organic, system number 5, at farm gate {FR} U",,0.024,0.02
"Grazed grass, permanent meadow, organic, system number 6, at farm gate {FR} U",,0.013,-0.04
"Grazed grass, permanent meadow, organic, suckler cow and beef fattening system number 1, at farm gate {FR} U",,0.027,0
"Grazed grass, permanent meadow, organic, suckler cow and beef fattening system number 2, at farm gate {FR} U",,0.025,0.01
"Grazed grass, permanent meadow, organic, suckler cow and beef fattening system number 3, at farm gate {FR} U",,0.03,0.01
"Grazed grass, permanent meadow, organic, suckler cow and beef fattening system number 4, at farm gate {FR} U",,0.03,0.01
"Grazed grass, temporary meadow, organic, system number 1, at farm gate {FR} U",,0.041,0.23
"Grazed grass, temporary meadow, organic, system number 2, at farm gate {FR} U",,0.036,0.24
"Grazed grass, temporary meadow, organic, system number 3, at farm gate {FR} U",,0.016,0.13
"Grazed grass, temporary meadow, organic, system number 4, at farm gate {FR} U",,0.015,0.14
"Wool, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.133,2.57
"Wool, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.229,2.82
"Wool, organic, system number 3, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.491,3
"Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate {FR} U",,0.102,1.1
"Cow milk, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Dairy\Transformation,0.094,0.91
"Cow milk, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Dairy\Transformation,0.096,0.86
"Cow milk, organic, system number 3, at farm gate {FR} U",Agricultural\Animal production\Dairy\Transformation,0.081,0.8
"Cow milk, organic, system number 4, at farm gate {FR} U",Agricultural\Animal production\Dairy\Transformation,0.078,0.84
"Cow milk, organic, system number 5, at farm gate {FR} U",Agricultural\Animal production\Dairy\Transformation,0.083,0.94
"Blue lupine, organic, at farm gate {FR} U",,0.214,3.73
"Alfalfa, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Roughage\Transformation,0.037,0.25
"Alfalfa, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Roughage\Transformation,0.018,0.15
"Alfalfa, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Roughage\Transformation,0.053,0.2
"Alfalfa, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Roughage\Transformation,0.022,0.17
"Alfalfa, organic, system number 5, at farm gate {FR} U",Agricultural\Plant production\Roughage\Transformation,0.033,0.24
"Grain maize, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.104,0.26
"Grain maize, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.099,0.23
"Grain maize, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.149,0.23
"Melon, organic, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.061,0.13
"Walnut, dried inshell, traditional varieties, organic, at farm gate {FR} U",Agricultural\Plant production\Nuts\Transformation,0.444,1.32
"Egg, organic, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.463,1.72
"Egg, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.544,1.99
"Egg, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.545,2.01
"Spring barley, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.042,0.31
"Spring barley, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.045,0.32
"Spring barley, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.119,0.56
"Spring barley, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.125,0.61
"Spring barley, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.064,0.42
"Spring barley, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.063,0.42
"Winter barley, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.043,0.31
"Winter barley, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.04,0.29
"Winter barley, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.097,0.38
"Winter barley, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.057,0.38
"Wheat straw, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0,0
"Wheat straw, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0,0
"Peach, organic, national average, at orchard {FR} U",Agricultural\Plant production\Fruits\Transformation,0.201,0.22
"Pear, organic, at farm gate {FR} U",Agricultural\Plant production\Fruits\Transformation,0.094,0.11
"Chickpea, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.145,0.91
"Spring pea and spring wheat intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.044,0.32
"Spring pea and spring barley intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Intercrops\Transformation,0.044,0.33
"Spring pea, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.047,0.35
"Spring pea, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.046,0.35
"Winter pea and winter wheat intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.076,0.39
"Winter pea and winter wheat intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.043,0.32
