Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
"1,4-Dioxane",kg,4.133,0.64,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
10SPb20 (1.0721),kg,0.955,0.24,mix of the Idemat data of the basic metals
13CrMo4 5 (1.7335),kg,1.204,0.55,mix of the Idemat data of the basic metals
14NiCr14,kg,1.686,1.19,mix of the Idemat data of the basic metals
15Cr3,kg,1.115,0.28,mix of the Idemat data of the basic metals
15NiMn6 (1.6228),kg,1.106,0.59,mix of the Idemat data of the basic metals
18NiCr8,kg,1.661,0.85,mix of the Idemat data of the basic metals
1-Butanol,kg,2.909,0.46,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
1-Pentanol,kg,3.212,0.51,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"2,4,5-T (2,4,5-Trichlorophenoxyacetic acid)",kg,5.788,0.93,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
"2,4-D (2,4-Dichlorophenoxyacetic acid)",kg,4.917,0.82,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
21MoV53,kg,1.128,0.63,mix of the Idemat data of the basic metals
22Mo4,kg,0.982,0.42,mix of the Idemat data of the basic metals
25CrMo4,kg,1.236,0.43,mix of the Idemat data of the basic metals
28NiCrMo4,kg,1.084,0.64,mix of the Idemat data of the basic metals
2-Butanol,kg,3.432,0.57,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
2-Methyl-1-butanol,kg,3.204,0.51,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
