heading,short number, Simapro group,Unit,Process,Total eco-cost (euro),kgCO2e,,,
agriculture,A.010.02.101,"Materials, agricultural, animal production",kg ,"Leather Chrome tanning, hides from Argentia",6.110457923,17.94887895,,,
agriculture,A.010.02.102,"Materials, agricultural, animal production",kg ,"Leather Vegetable tanning, hides from Europe",3.044671211,20.26787519,,,
agriculture,A.010.02.103,"Materials, agricultural, animal production",kg ,"Wool (Australia, transported to Rotterdam)",12.21106378,88.0557594,,,
agriculture,A.010.02.104,"Materials, agricultural, animal production",kg ,Wool at farm Australia,12.11720132,87.69510526,,,\
agriculture,A.010.04.101,"Materials, agricultural, others",kg ,Crude palm kernel oil refined,0.795738648,1.067559474,,,
agriculture,A.010.04.102,"Materials, agricultural, others",kg ,"Palm kernel oil, crude from trees",0.68663576,0.704477857,,,
agriculture,A.010.04.103,"Materials, agricultural, others",kg ,"Potatoe starch, DE",0.130303342,0.711898241,,,
agriculture,A.010.04.104,"Materials, agricultural, others",kg ,"Potatoes, DE",0.010923793,0.046376159,,,
agriculture,A.010.04.105,"Materials, agricultural, others",kg ,"Rape cake, Europe",0.153677411,0.221091368,,,
agriculture,A.010.04.106,"Materials, agricultural, others",kg ,Soy meal at coast Brazil,1.580039367,6.689380376,,,
agriculture,A.010.04.107,"Materials, agricultural, others",kg ,Soy meal at coast USA,0.116879078,0.548808165,,,
agriculture,A.010.04.108,"Materials, agricultural, others",kg ,"Soy oil, refined at coast Brazil",1.645146354,6.966199023,,,
agriculture,A.010.04.109,"Materials, agricultural, others",kg ,"Soy oil, refined at coast USA",0.122429449,0.575680391,,,
agriculture,A.010.04.110,"Materials, agricultural, others",kg ,"Soybean grain, harvested and transported to coast Brazil",1.517243085,6.395459774,,,
agriculture,A.010.04.111,"Materials, agricultural, others",kg ,"Soybean grain, harvested and transported to coast USA",0.083235062,0.377233429,,,
agriculture,A.010.04.112,"Materials, agricultural, others",kg ,"Soybean oil, crude, degummed at coast Brazil",1.581109075,6.693909173,,,
agriculture,A.010.04.113,"Materials, agricultural, others",kg ,"Soybean oil, crude, degummed at coast USA",0.116958207,0.549179722,,,
agriculture,A.010.06.101,"Materials, agricultural, plant oils ",kg ,Palm oil in Rotterdam,0.819010937,1.156806015,,,
