Product,Category,Total kg CO2e/kg,Data sources
"Bell pepper, sweet",Vegetables and vegetable products,0.96,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Tomato,Vegetables and vegetable products,0.46,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Squash,Vegetables and vegetable products,0.73,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Aubergine,Vegetables and vegetable products,0.87,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Tomato, dried",Vegetables and vegetable products,2.33,Data on inputs and outputs of the food processing industry is modelled using: Wikipedia (2020); Bahçıvanoğlu (2020).
Pumpkin,Vegetables and vegetable products,0.73,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Cucumber,Vegetables and vegetable products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Gherkin cucumber,Vegetables and vegetable products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Pepper, hot chili",Vegetables and vegetable products,0.96,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Beef, topside, cap off",Meat and poultry,55.31,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, fillet, defatted",Meat and poultry,185.76,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, mince, 10-15% fat",Meat and poultry,39.09,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Beef, rump",Meat and poultry,55.31,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, mince, 15-20% fat",Meat and poultry,37.03,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Beef, T-bone steak",Meat and poultry,98.53,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, mince, 5-10% fat",Meat and poultry,41.15,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Beer, lager, alc. 4.4 % by vol., canned","Wine, beer and spirits",0.65,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016)."
"Beer, household, alc. 1,7 % by vol., canned","Wine, beer and spirits",0.65,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016)."
