emission_factor_id,source_database,category_code,category_name_en,category_name_zh,activity_type_en,activity_type_zh,scope3_category,unit,emission_factor,co2_emission,ch4_emission,n2o_emission,geographic_scope,year,tier_level,data_quality,gwp_version,source_url,license,notes,search_text
LEGACY_AGRIBALYSE_000000,AGRIBALYSE,SEAWEED_AGAR_RAW,"Seaweed, agar, raw",,Food & Agriculture,,1,kg CO2e/kg,6.75,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Seaweed, agar, raw Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000001,AGRIBALYSE,GARLIC_POWDER_DRIED,"Garlic, powder, dried",,Food & Agriculture,,1,kg CO2e/kg,0.75,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Garlic, powder, dried Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000002,AGRIBALYSE,GARLIC_FRESH,"Garlic, fresh",,Food & Agriculture,,1,kg CO2e/kg,0.36,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Garlic, fresh Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000003,AGRIBALYSE,DILL_FRESH,"Dill, fresh",,Food & Agriculture,,1,kg CO2e/kg,0.81,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Dill, fresh Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000004,AGRIBALYSE,SEA_LETTUCE_ENTEROMORPHA_SP._DRIED_OR_DEHYDRATE,"Sea lettuce (Enteromorpha sp.), dried or dehydrated",,Food & Agriculture,,1,kg CO2e/kg,6.75,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Sea lettuce (Enteromorpha sp.), dried or dehydrated Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000005,AGRIBALYSE,NORTH_ATLANTIC_ROCKWEED_ASCOPHYLLUM_NODOSUM_DRI,"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",,Food & Agriculture,,1,kg CO2e/kg,6.56,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000006,AGRIBALYSE,CREAM_SAUCE_FOR_PIZZA_BASE,cream sauce for pizza base,,Food & Agriculture,,1,kg CO2e/kg,1.96,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,cream sauce for pizza base Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg
LEGACY_AGRIBALYSE_000007,AGRIBALYSE,TOMATO_SAUCE_FOR_PIZZA_BASE,Tomato sauce for pizza base,,Food & Agriculture,,1,kg CO2e/kg,0.72,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,Tomato sauce for pizza base Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg
LEGACY_AGRIBALYSE_000008,AGRIBALYSE,BASIL_FRESH,"Basil, fresh",,Food & Agriculture,,1,kg CO2e/kg,0.81,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Basil, fresh Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000009,AGRIBALYSE,BASIL_DRIED,"Basil, dried",,Food & Agriculture,,1,kg CO2e/kg,1.55,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Basil, dried Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000010,AGRIBALYSE,SODIUM_BICARBONATE,Sodium bicarbonate,,Food & Agriculture,,1,kg CO2e/kg,1.13,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,Sodium bicarbonate Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg
LEGACY_AGRIBALYSE_000011,AGRIBALYSE,CINNAMON_POWDER,"Cinnamon, powder",,Food & Agriculture,,1,kg CO2e/kg,8.15,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Cinnamon, powder Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000012,AGRIBALYSE,CARDAMOM_POWDER,"Cardamom, powder",,Food & Agriculture,,1,kg CO2e/kg,8.15,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Cardamom, powder Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000013,AGRIBALYSE,CARAWAY_SEED,"Caraway, seed",,Food & Agriculture,,1,kg CO2e/kg,8.15,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Caraway, seed Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000014,AGRIBALYSE,CHERVIL_FRESH,"Chervil, fresh",,Food & Agriculture,,1,kg CO2e/kg,0.81,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Chervil, fresh Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
LEGACY_AGRIBALYSE_000015,AGRIBALYSE,CHIVE_OR_SPRING_ONION_FRESH,"Chive or spring onion, fresh",,Food & Agriculture,,1,kg CO2e/kg,0.68,,,,FR,2024,2.0,Medium,AR5,,Check source database,Migrated from AGRIBALYSE,"Chive or spring onion, fresh Food & Agriculture Scope 3 Category 1 AGRIBALYSE kg CO2e/kg"
