Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
CN,1,Paddy rice,C_PARI,58727.4239806,4318934478.39,73542.0385511327,951494.316405,16.201873876152245,83800.4740204,1.4269393809625062,74373.82995562004
CN,2,Wheat,C_WHEA,43567.8658663,2549958687.62,58528.427705071685,846726.62561,19.434659209804167,55317.0897282,1.2696763687704082,59409.062400670366
CN,3,Cereal grains nec,C_OCER,83553.338564,12327656485.6,147542.356744456,1671330.95134,20.003161813334334,253388.568294,3.0326564162353606,148906.0992255317
CN,4,"Vegetables, fruit, nuts",C_FVEG,393269.819892,36050500004.2,91668.61574605497,3380461.48208,8.595781601060423,497312.505621,1.2645580221680175,92244.4055067592
CN,5,Oil seeds,C_OILS,49119.1939805,7651660068.26,155777.39470435242,1416991.47485,28.84801968478018,172696.758338,3.5158711766842,157516.84511734758
CN,6,"Sugar cane, sugar beet",C_SUGB,31028.6689884,12515864411.3,403364.52768821723,1724211.59959,55.56833908133773,251056.677764,8.091119791759581,407064.58792731096
CN,7,Plant-based fibers,C_FIBR,68228.2278295,26103940022.4,382597.3625994339,1732001.61177,25.38541109551039,346477.578586,5.078214539762569,384653.8809631453
CN,8,Crops nec,C_OTCR,116971.089344,5128619362.04,43845.187651089196,1476112.59595,12.61946523904641,107790.227461,0.9215117005878262,44442.73327843827
CN,9,Cattle,C_CATL,35528.137162,2014203846.3,56693.201704207044,858688.046078,24.169239219117603,36999.9798494,1.0414275220985763,57645.918695698456
CN,10,Pigs,C_PIGS,143693.582103,2421827311.68,16854.10911354431,682678.468341,4.750932215272176,34900.9437823,0.24288449958247194,17051.499607961283
CN,11,Poultry,C_PLTR,89100.5543785,6610776305.89,74194.5586309975,1210593.70622,13.586825746082189,121671.14687,1.3655487075101667,74936.86015937799
CN,12,Meat animals nec,C_OMEA,52246.751097,1773247017.01,33939.85233106331,706755.140433,13.527255295182973,44856.8904973,0.8585584664206168,34546.1334729299
CN,13,Animal products nec,C_OANP,59549.63502,6443811574.56,108209.08595654396,1540129.69347,25.86295773186084,118693.06258,1.9931786742292614,109461.44112170681
CN,14,Raw milk,C_MILK,47128.8027698,39853318881.1,845625.5312863133,2623585.33488,55.668406169680715,620915.548795,13.174863614249944,850675.5855168407
