Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
GB,1,Paddy rice,C_PARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,2,Wheat,C_WHEA,4024.12897136,471188415.488,117090.78382961382,9478.20432299,2.355343079321519,13495.1770888,3.3535647552168664,118045.4280959673
GB,3,Cereal grains nec,C_OCER,2313.13710559,293090701.759,126707.01665314511,14431.530623,6.238943030278797,6775.57988927,2.9291734903633344,127657.9380329392
GB,4,"Vegetables, fruit, nuts",C_FVEG,5073.51676653,45950347.2643,9056.902613870232,3272.05178335,0.6449277560164445,1484.8206121,0.2926610239854463,9152.515762394836
GB,5,Oil seeds,C_OILS,1619.75954914,38920552.475,24028.598871767477,1676.74550111,1.0351817354620667,894.777322591,0.5524136734159559,24203.97358381564
GB,6,"Sugar cane, sugar beet",C_SUGB,108.566830878,863399.628833,7952.701776873542,86.5747821321,0.7974330781506078,5.77297660739,0.053174404748696016,7989.121120320164
GB,7,Plant-based fibers,C_FIBR,4.59950891035,2889729.04434,628269.0392962204,128.515497257,27.94113453456069,77.7373699098,16.901232593521502,633530.2177004713
GB,8,Crops nec,C_OTCR,4330.51350037,169784631.309,39206.58168932935,4359.30237952,1.0066479134974502,5909.7834541,1.3646842236134509,39596.40915016484
GB,9,Cattle,C_CATL,3875.46693154,228528096.986,58967.88723086574,163305.672801,42.138321829547124,14893.8150046,3.84310207458837,61166.182291858975
GB,10,Pigs,C_PIGS,1970.05806993,257108823.561,130508.24617070072,16702.5039182,8.478178472573385,23177.2989531,11.764779580291018,133863.3017567099
GB,11,Poultry,C_PLTR,4722.67029565,221120587.387,46821.09347982046,103726.882962,21.963608820531405,9832.79634337,2.0820416687624546,47987.81556901739
GB,12,Meat animals nec,C_OMEA,2201.5592502,73474100.6478,33373.66488824921,31086.345544,14.12014940827778,5099.69705951,2.3164023675704932,34382.87569908716
GB,13,Animal products nec,C_OANP,120.503743858,6219880.52408,51615.662094361345,2991.30917127,24.823371253883355,414.999718382,3.443874066444194,53223.34311707779
GB,14,Raw milk,C_MILK,5900.59280891,71807507.9237,12169.541306980105,16124.0287223,2.7326116619930847,6220.2845938,1.0541796045318124,12525.412028716843
GB,15,"Wool, silk-worm cocoons",C_WOOL,18.7353050584,979422738.585,52276850.33854703,529196.085885,28245.928434868696,1593.46497243,85.0514559257506,53090274.970543675
GB,16,Manure (conventional treatment),C_MANC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,17,Manure (biogas treatment),C_MANB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,18,"Products of forestry, logging and related services (02)",C_FORE,765.668720959,142796806.103,186499.4640556127,14375.0722713,18.774532480960204,10300.5392792,13.4529973567401,190590.19526461573
GB,19,Fish and other fishing products; services incidental of fishing (05),C_FISH,2230.42843658,421899557.314,189156.2851309924,45.9639302943,0.02060766870636667,12.7428028466,0.005713163730166129,189158.37613410468
GB,20,Anthracite,C_ANTH,5.03705102853,185486.379729,36824.39956998647,20.5452359225,4.078822272423131,4.08929967387,0.8118440037053608,37153.74525459624
GB,21,Coking Coal,C_COKC,0.586995642189,103520.10338,176355.82948104537,3.24248248728,5.52386125932429,4.70046535136,8.007666520029378,178632.52922411423
GB,22,Other Bituminous Coal,C_OTBC,1941.781048,437647090.422,225384.3660039677,11712.0661321,6.031610074762662,20458.8698479,10.536136331628262,228345.32721394254
GB,23,Sub-Bituminous Coal,C_SUBC,2.26073486025,83250.2037275,36824.399530997594,9.22113569023,4.078822268087773,1.83536403831,0.8118440028420844,37153.74521525721
GB,24,Patent Fuel,C_PATF,15.7337397538,3546139.95882,225384.4295323074,94.8998099616,6.031611774859812,165.772873779,10.536139301462812,228345.39157689112
GB,25,Lignite/Brown Coal,C_LIBC,1.4605229057,53782.8790753,36824.39958004145,5.95721335876,4.078822273523211,1.18571676359,0.8118440039265999,37153.745264740646
GB,26,BKB/Peat Briquettes,C_BKBP,9.01459638302,331957.09762,36824.399397989495,36.768936332,4.078822253346628,7.31844598517,0.8118439999105352,37153.74508105949
GB,27,Peat,C_PEAT,0.423588458931,15598.3905848,36824.39938086435,1.72774203175,4.078822251461386,0.343887748655,0.8118439995340317,37153.74506378178
GB,28,"Crude petroleum and services related to crude oil extraction, excluding surveying",C_COIL,53214.3864786,9233213052.09,173509.7153812552,2603724.79546,48.92896390916919,20736.3216406,0.3896751050383536,174982.9902735471
GB,29,"Natural gas and services related to natural gas extraction, excluding surveying",C_GASE,7455.74946307,3798452918.56,509466.2766465785,1582235.79804,212.21686778467662,6126.01050262,0.8216491893891424,515626.0859797376
GB,30,Natural Gas Liquids,C_GASL,632.157038739,322170238.777,509636.40208713256,134201.746877,212.29178614336075,519.413551553,0.8216527219076831,515798.3100704522
GB,31,Other Hydrocarbons,C_OGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,32,Uranium and thorium ores (12),C_ORAN,58.7934047971,2165031.81851,36824.399368971244,239.807847648,4.078822250141712,47.7310728812,0.8118439992703798,37153.745051781865
GB,33,Iron ores,C_IRON,0.0180474904347,3396.72421614,188210.33475153428,0.0563881959348,3.1244341776395754,0.0113350455865,0.6280676877216154,188464.25684575443
GB,34,Copper ores and concentrates,C_COPO,2.32508699842,85619.932221,36824.399379112496,9.48361658529,4.078822251268249,1.88760792797,0.8118439994945192,37153.74506201405
GB,35,Nickel ores and concentrates,C_NIKO,37.2516123756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
