Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
JP,1,Paddy rice,C_PARI,26159.5140983,1027161519.55,39265.313403384316,24642.9186337,0.9420250904163944,41412.5829591,1.5830792117729449,39711.2060970358
JP,2,Wheat,C_WHEA,1547.08902943,1614859889.68,1043805.4041886453,25073.1078253,16.20663539611407,69225.7152544,44.745786401125926,1056116.8233760349
JP,3,Cereal grains nec,C_OCER,625.673619653,23356549.2943,37330.24465256118,640.166140241,1.0231630679842914,808.997427646,1.293002297419335,37701.53882728086
JP,4,"Vegetables, fruit, nuts",C_FVEG,38258.2814714,335913198.412,8780.14342236235,50437.6481115,1.3183458893522098,11123.9587563,0.29075949908036836,8894.108374520509
JP,5,Oil seeds,C_OILS,13.9386728421,3317811.31349,238029.21204011404,190.94509933,13.69894404532363,130.910790209,9.391912106122506,240901.63918150557
JP,6,"Sugar cane, sugar beet",C_SUGB,1042.28729165,40597081.6149,38949.99194572594,891.045328409,0.8548941693402254,1373.77442971,1.318038165403741,39323.209096299455
JP,7,Plant-based fibers,C_FIBR,4.55522690803,29754.6361559,6531.97672841461,13.8610034498,3.042878813647172,1.83797670021,0.40348740849111076,6724.101498446876
JP,8,Crops nec,C_OTCR,11628.2487879,31130161.8863,2677.1152263867193,3334.52410036,0.2867606430840905,1290.43847284,0.11097444648611154,2714.5527527118934
JP,9,Cattle,C_CATL,8036.18384706,44082358.0254,5485.484013849101,6881.72958917,0.8563429757381233,2275.82037743,0.28319665412614947,5584.508730513197
JP,10,Pigs,C_PIGS,5189.34674002,31048484.749,5983.120092853988,5324.66759614,1.0260766649251651,1317.65171575,0.2539147568591498,6079.137650039567
JP,11,Poultry,C_PLTR,7463.51094385,33182174.509,4445.920259062848,4881.81310447,0.6540907009043322,1420.07214073,0.19026864855074033,4514.655990554116
JP,12,Meat animals nec,C_OMEA,573.185627259,12216647.3532,21313.596803919474,391.413584811,0.6828740397465265,715.179632313,1.2477277836379497,21663.365139696434
JP,13,Animal products nec,C_OANP,2347.55998399,116890727.165,49792.43468204301,2126.74779182,0.9059397017857242,3955.28287843,1.6848484832781374,50264.28584176172
JP,14,Raw milk,C_MILK,7004.00979063,149633091.71,21363.918124469204,14242.1977419,2.0334348705441965,4365.47346846,0.6232820340000313,21586.024039854452
JP,15,"Wool, silk-worm cocoons",C_WOOL,0.0196324981606,2851840.57086,145261216.76065105,52.8024216286,2689.5416567295515,88.959631823,4531.243609207665,146537303.4834795
JP,16,Manure (conventional treatment),C_MANC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,17,Manure (biogas treatment),C_MANB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,18,"Products of forestry, logging and related services (02)",C_FORE,13676.5720572,45616379.4897,3335.366442622979,524726.736442,38.366831560380575,776355.311064,56.76534352446084,19452.453760295757
JP,19,Fish and other fishing products; services incidental of fishing (05),C_FISH,17525.1137418,429209431.341,24491.106743419972,15834.1451277,0.9035116896236292,16343.5984382,0.932581589996651,24763.539192078548
JP,20,Anthracite,C_ANTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,21,Coking Coal,C_COKC,1175.38546844,34593470641.2,29431596.33163858,127679.879859,108.62809119842174,823270.088102,700.4256137305014,29620250.705830716
