Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
KR,1,Paddy rice,C_PARI,7533.11809992,286956717.372,38092.68798999015,10183.0816579,1.351775124567361,9655.80966862,1.281781267802312,38470.20972944565
KR,2,Wheat,C_WHEA,19.321137326,7622944472.41,394539117.6404498,173859.981565,8998.434131050904,271044.5205,14028.393666829425,398508598.1178291
KR,3,Cereal grains nec,C_OCER,524.965751854,39490482.5354,75224.87399593799,3488.56014038,6.6453099617634015,1961.17435058,3.7358138957709164,76400.93335724666
KR,4,"Vegetables, fruit, nuts",C_FVEG,17834.3673521,605351136.625,33942.95545637731,103217.485297,5.787560795356508,20759.8410266,1.1640357415961562,34413.47663017027
KR,5,Oil seeds,C_OILS,1058.96280742,115726431.369,109282.81008371734,3966.2473265,3.7454075806148013,3746.11674222,3.537533817025017,110325.12795748618
KR,6,"Sugar cane, sugar beet",C_SUGB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,7,Plant-based fibers,C_FIBR,0.214906005686,32718.7480992,152246.78340076492,2.08845247173,9.71798096132058,1.15005300206,5.351423281024295,153937.01403715333
KR,8,Crops nec,C_OTCR,1585.05457591,220330336.975,139004.8900041852,83967.7628737,52.974682480881164,8086.81308738,5.101914602995457,141840.1884834437
KR,9,Cattle,C_CATL,1332.10549554,281094772.132,211015.39861004156,11995.3863254,9.004832098930267,10371.4669236,7.785769939636564,213330.7629428153
KR,10,Pigs,C_PIGS,6554.58596394,29056539.97,4433.009213679447,1870.1738719,0.2853229604720643,985.145130806,0.15029860562143327,4480.827387062345
KR,11,Poultry,C_PLTR,2459.1540575,34062995.4155,13851.509347945763,1217.99948305,0.49529206164831746,929.494701348,0.3779733516544846,13965.540463860354
KR,12,Meat animals nec,C_OMEA,47.3099716787,138264424.049,2922521.809736143,6201.07668294,131.07335436710613,4941.3753153,104.44680349543977,2953870.266584713
KR,13,Animal products nec,C_OANP,1826.96643876,129803837.282,71048.83512260934,21279.1130872,11.647238085907354,4824.33019743,2.640623327872609,72074.72297090098
KR,14,Raw milk,C_MILK,4192.43442855,178291707.714,42527.01163311078,36232.8582668,8.642438870375258,5105.73824801,1.2178457015905853,43091.72903240279
KR,15,"Wool, silk-worm cocoons",C_WOOL,0.207057508171,3446585.56075,16645547.370847387,195.048496007,942.0015614498642,134.473150327,649.4483175946673,16844027.21873057
KR,16,Manure (conventional treatment),C_MANC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,17,Manure (biogas treatment),C_MANB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,18,"Products of forestry, logging and related services (02)",C_FORE,1998.4950518,85992310.0976,43028.53290537229,51589.0225865,25.813935611216507,34516.2664663,17.271129310634006,48328.172369804364
KR,19,Fish and other fishing products; services incidental of fishing (05),C_FISH,7457.08584711,989215241.929,132654.3990790144,59998.8799641,8.045888326115035,35096.29787,4.7064360783242964,134126.88951290157
KR,20,Anthracite,C_ANTH,1431.15248606,13776967790.5,9626484.895699933,77919.3346369,54.44516597348334,263762.580307,184.3008225022515,9676849.078310287
KR,21,Coking Coal,C_COKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,22,Other Bituminous Coal,C_OTBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
