Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
US,1,Paddy rice,C_PARI,5083.73818785,12714454489.8,2501004.9731095927,307399.330989,60.46718371997918,463614.604652,91.1956099076909,2526864.89087929
US,2,Wheat,C_WHEA,15816.8146422,8326633186.67,526441.8516010267,645416.038993,40.80569024757993,343583.895788,21.722698505380606,533340.9260318847
US,3,Cereal grains nec,C_OCER,49626.2672516,9338401061.22,188174.56114269645,1388244.96784,27.973995319892644,451632.232622,9.100669013292329,191369.51030017593
US,4,"Vegetables, fruit, nuts",C_FVEG,103872.235238,4394921657.23,42310.8412672551,1023629.75328,9.85470035312691,221920.15876,2.136472352323213,43152.93805050831
US,5,Oil seeds,C_OILS,31567.3159348,4775027314.06,151264.9134922485,359011.052246,11.37287227674064,153926.948605,4.876149398413376,152875.53350657682
US,6,"Sugar cane, sugar beet",C_SUGB,3634.47263059,3077804268.14,846836.5512606341,429019.228052,118.04167252247417,176153.529007,48.46742482647454,862985.5856702791
US,7,Plant-based fibers,C_FIBR,6243.05323096,2498660150.22,400230.47342106013,303041.624647,48.540612010831914,114473.913639,18.336206564972255,406448.7052970811
US,8,Crops nec,C_OTCR,50125.7224548,6257115381.74,124828.43289455319,660397.933265,13.174831222841773,309639.033519,6.177248293991405,126834.29896670047
US,9,Cattle,C_CATL,59554.561122,11330058456.9,190246.69552496413,1623850.06306,27.26659440464141,554275.103708,9.307013489236272,193476.5187429417
US,10,Pigs,C_PIGS,23468.0771945,5561482698.56,236980.75698606423,950642.023259,40.50787865491568,484589.459544,20.648877857686983,243586.93022068893
US,11,Poultry,C_PLTR,40715.1339262,10661782602.6,261862.88916365796,2935725.24664,72.10403021051773,918166.153255,22.550979567432158,269857.811594922
