source,country,country_name,product_id,product_name,product_code,emission_factor_per_meur,unit,base_year,tier
EXIOBASE,TW,台灣,1,Paddy rice,C_PARI,1244970.550735908,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,2,Wheat,C_WHEA,487438.4436985925,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,3,Cereal grains nec,C_OCER,1720353.8437855018,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,4,"Vegetables, fruit, nuts",C_FVEG,48525.46011135288,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,5,Oil seeds,C_OILS,280512.4467336262,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,6,"Sugar cane, sugar beet",C_SUGB,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,7,Plant-based fibers,C_FIBR,22.12174589816162,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,8,Crops nec,C_OTCR,12231.306724242302,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,9,Cattle,C_CATL,1487.4774945167378,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,10,Pigs,C_PIGS,665.1142802982164,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,11,Poultry,C_PLTR,557.4320662323007,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,12,Meat animals nec,C_OMEA,20.37466539318979,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,13,Animal products nec,C_OANP,3159.606672100468,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,14,Raw milk,C_MILK,1548.5867335281805,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,15,"Wool, silk-worm cocoons",C_WOOL,0.0824179624270074,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,16,Manure (conventional treatment),C_MANC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,17,Manure (biogas treatment),C_MANB,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,18,"Products of forestry, logging and related services (02)",C_FORE,207646.41925635893,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,19,Fish and other fishing products; services incidental of fishing (05),C_FISH,22686.324274268496,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,20,Anthracite,C_ANTH,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,21,Coking Coal,C_COKC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,22,Other Bituminous Coal,C_OTBC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,23,Sub-Bituminous Coal,C_SUBC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,24,Patent Fuel,C_PATF,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,25,Lignite/Brown Coal,C_LIBC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,26,BKB/Peat Briquettes,C_BKBP,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,27,Peat,C_PEAT,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,28,"Crude petroleum and services related to crude oil extraction, excluding surveying",C_COIL,9235.719722083457,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,29,"Natural gas and services related to natural gas extraction, excluding surveying",C_GASE,475986.8825205647,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,30,Natural Gas Liquids,C_GASL,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,31,Other Hydrocarbons,C_OGPL,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,32,Uranium and thorium ores (12),C_ORAN,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,33,Iron ores,C_IRON,15.287698290821652,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,34,Copper ores and concentrates,C_COPO,189.8891312273272,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,35,Nickel ores and concentrates,C_NIKO,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,36,Aluminium ores and concentrates,C_ALUO,1055.9513915920909,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,37,Precious metal ores and concentrates,C_PREO,1335.6994877568916,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,38,"Lead, zinc and tin ores and concentrates",C_LZTO,11849758.53742558,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,39,Other non-ferrous metal ores and concentrates,C_ONFO,53.495644770349536,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,40,Stone,C_STON,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,41,Sand and clay,C_SDCL,53139.5314105388,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,42,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",C_CHMF,611843.3257591391,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,43,Products of meat cattle,C_PCAT,388663.9154377853,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,44,Products of meat pigs,C_PPIG,102089.26925425076,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,45,Products of meat poultry,C_PPLT,37850.557464675374,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,46,Meat products nec,C_POME,220016.2598415532,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,47,products of Vegetable oils and fats,C_VOIL,975.6938601995896,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,48,Dairy products,C_DAIR,3920.7066973947135,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,49,Processed rice,C_RICE,23842.235354715565,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,50,Sugar,C_SUGR,2108.629299213568,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,51,Food products nec,C_OFOD,2417.9537037111986,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,52,Beverages,C_BEVR,33279.38564088533,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,53,Fish products,C_FSHP,204368.15895962596,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,54,Tobacco products (16),C_TOBC,357755.5235283074,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,55,Textiles (17),C_TEXT,39933.582506470426,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,56,Wearing apparel; furs (18),C_GARM,21651.539939114464,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,57,Leather and leather products (19),C_LETH,16741.58284452025,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,58,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),C_WOOD,20346.693839367163,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,59,"Wood material for treatment, Re-processing of secondary wood material into new wood material",C_WOOW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,60,Pulp,C_PULP,11636924.73434778,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,61,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",C_PAPR,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,62,Paper and paper products,C_PAPE,126692.23684002925,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,63,Printed matter and recorded media (22),C_MDIA,14528.811247738928,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,64,Coke Oven Coke,C_COKE,2431436.3078447217,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,65,Gas Coke,C_GCOK,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,66,Coal Tar,C_COTA,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,67,Motor Gasoline,C_MGSL,179089.75156297232,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,68,Aviation Gasoline,C_AGSL,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,69,Gasoline Type Jet Fuel,C_GJET,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,70,Kerosene Type Jet Fuel,C_KJET,179089.75162505673,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,71,Kerosene,C_KERO,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,72,Gas/Diesel Oil,C_DOIL,179089.75157934768,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,73,Heavy Fuel Oil,C_FOIL,179089.7516326503,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,74,Refinery Gas,C_RGAS,179089.75652439918,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,75,Liquefied Petroleum Gases (LPG),C_LPGA,179089.7517767791,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,76,Refinery Feedstocks,C_REFF,179089.75159072856,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,77,Ethane,C_ETHA,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,78,Naphtha,C_NAPT,179089.75148053237,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,79,White Spirit & SBP,C_WHSP,179089.75202284247,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,80,Lubricants,C_LUBR,179089.75263866942,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,81,Bitumen,C_BITU,179089.75233709702,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,82,Paraffin Waxes,C_PARW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,83,Petroleum Coke,C_PETC,179089.76318308598,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,84,Non-specified Petroleum Products,C_NSPP,179089.7526762628,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,85,Nuclear fuel,C_NUCF,177407.03267105934,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,86,"Plastics, basic",C_PLAS,400349.9639776565,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,87,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",C_PLAW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,88,N-fertiliser,C_NFER,130627.73586237316,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,89,P- and other fertiliser,C_PFER,333345.7045178623,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,90,Chemicals nec,C_CHEM,143606.796494447,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,91,Charcoal,C_CHAR,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,92,Additives/Blending Components,C_ADDC,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,93,Biogasoline,C_BIOG,143606.796748006,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,94,Biodiesels,C_BIOD,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,95,Other Liquid Biofuels,C_OBIO,143606.79682148818,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,96,Rubber and plastic products (25),C_RUBP,9282.93702456036,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,97,Glass and glass products,C_GLAS,170200.5137386832,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,98,"Secondary glass for treatment, Re-processing of secondary glass into new glass",C_GLAW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,99,Ceramic goods,C_CRMC,3686159.8818854815,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,100,"Bricks, tiles and construction products, in baked clay",C_BRIK,9087360.213197997,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,101,"Cement, lime and plaster",C_CMNT,1013900.652276501,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,102,"Ash for treatment, Re-processing of ash into clinker",C_ASHW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,103,Other non-metallic mineral products,C_ONMM,315072.76040888694,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,104,Basic iron and steel and of ferro-alloys and first products thereof,C_STEL,65306.782692064,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,105,"Secondary steel for treatment, Re-processing of secondary steel into new steel",C_STEW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,106,Precious metals,C_PREM,7171.22324354128,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,107,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",C_PREW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,108,Aluminium and aluminium products,C_ALUM,34615.84213797003,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,109,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",C_ALUW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,110,"Lead, zinc and tin and products thereof",C_LZTP,88398.91099345442,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,111,"Secondary lead for treatment, Re-processing of secondary lead into new lead",C_LZTW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,112,Copper products,C_COPP,16975.351951565026,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,113,"Secondary copper for treatment, Re-processing of secondary copper into new copper",C_COPW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,114,Other non-ferrous metal products,C_ONFM,11577.788338984485,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,115,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",C_ONFW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,116,Foundry work services,C_METC,534451.9525309836,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,117,"Fabricated metal products, except machinery and equipment (28)",C_FABM,9792.713972701738,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,118,Machinery and equipment n.e.c. (29),C_MACH,10469.125633660493,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,119,Office machinery and computers (30),C_OFMA,3424.270157804547,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,120,Electrical machinery and apparatus n.e.c. (31),C_ELMA,14552.739403375685,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,121,"Radio, television and communication equipment and apparatus (32)",C_RATV,34802.20357430492,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,122,"Medical, precision and optical instruments, watches and clocks (33)",C_MEIN,23984.637925031053,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,123,"Motor vehicles, trailers and semi-trailers (34)",C_MOTO,114585.46370943775,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,124,Other transport equipment (35),C_OTRE,74479.74701593454,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,125,Furniture; other manufactured goods n.e.c. (36),C_FURN,7299.586192386459,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,126,Secondary raw materials,C_RYMS,509515.2852633023,kg CO2e/M.EUR,2022,3
