Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
PI-0505,LED發光二極體,LED發光二極體,光電材料,LED/光學元件,零組件,半導體/光學塑膠/玻璃,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,optoelectronic component / optical plastic,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,光電/電子零組件
PI-0517,光學透鏡,光學透鏡,光電材料,LED/光學元件,零組件,半導體/光學塑膠/玻璃,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,optoelectronic component / optical plastic,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,光電/電子零組件
PI-0513,光電二極體,光電二極體,光電材料,LED/光學元件,零組件,半導體/光學塑膠/玻璃,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,optoelectronic component / optical plastic,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,光電/電子零組件
PI-0525,導光板,導光板,光電材料,LED/光學元件,零組件,半導體/光學塑膠/玻璃,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,optoelectronic component / optical plastic,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,光電/電子零組件
PI-0521,擴散板,擴散板,光電材料,LED/光學元件,零組件,半導體/光學塑膠/玻璃,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,optoelectronic component / optical plastic,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,光電/電子零組件
PI-0221,切斷砂輪,切斷砂輪,刀具磨料,切削/研磨耗材,耗材,工具鋼/鎢鋼/磨料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,tools / abrasives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械
PI-0233,拋光輪,拋光輪,刀具磨料,切削/研磨耗材,耗材,工具鋼/鎢鋼/磨料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,tools / abrasives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械
PI-0225,百葉砂輪片,百葉砂輪片,刀具磨料,切削/研磨耗材,耗材,工具鋼/鎢鋼/磨料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,tools / abrasives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械
PI-0217,砂輪片,砂輪片,刀具磨料,切削/研磨耗材,耗材,工具鋼/鎢鋼/磨料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,tools / abrasives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械
PI-0229,研磨帶,研磨帶,刀具磨料,切削/研磨耗材,耗材,工具鋼/鎢鋼/磨料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,tools / abrasives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械
PI-0421,EPE珍珠棉,EPE珍珠棉,包裝材料,紙塑包材,包材,紙/塑膠/木材,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,paper packaging / plastic packaging / wood pallet,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,全產業/包材印刷/批發
PI-0413,PE塑膠袋,PE塑膠袋,包裝材料,紙塑包材,包材,紙/塑膠/木材,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,paper packaging / plastic packaging / wood pallet,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,全產業/包材印刷/批發
PI-0425,伸縮膜,伸縮膜,包裝材料,紙塑包材,包材,紙/塑膠/木材,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,paper packaging / plastic packaging / wood pallet,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,全產業/包材印刷/批發
PI-0405,彩盒,彩盒,包裝材料,紙塑包材,包材,紙/塑膠/木材,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,paper packaging / plastic packaging / wood pallet,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,全產業/包材印刷/批發
PI-0429,打包帶,打包帶,包裝材料,紙塑包材,包材,紙/塑膠/木材,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,paper packaging / plastic packaging / wood pallet,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,全產業/包材印刷/批發
PI-0241,切削油,切削油,化學與潤滑,油品/清洗/表處,耗材,石油化學品,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,L,範疇3 類別1,lubricant / industrial chemicals,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/塑橡膠
PI-0261,工業清洗劑,工業清洗劑,化學與潤滑,油品/清洗/表處,耗材,石油化學品,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,L,範疇3 類別1,lubricant / industrial chemicals,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/塑橡膠
PI-0245,水溶性切削液,水溶性切削液,化學與潤滑,油品/清洗/表處,耗材,石油化學品,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,L,範疇3 類別1,lubricant / industrial chemicals,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/塑橡膠
PI-0249,液壓油,液壓油,化學與潤滑,油品/清洗/表處,耗材,石油化學品,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,L,範疇3 類別1,lubricant / industrial chemicals,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/塑橡膠
