Scope 3 Category,ERP ID,Item Name,自動匹配係數,Spec/Grade,Qty,Unit,Total (TWD),Mapping Hint,lookup_keyword,lookup_factor_name,lookup_factor_value,lookup_factor_unit,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
Category 2 (Capital Goods),ASSET-10000,高壓反應釜,未匹配，請手動確認,SUS316L / 5000L,4,unit,14000000,EPA/EEIO Asset Method,反應釜,C-29 機械設備製造業 (EEIO),0.000185,元,已匹配,係數對照表,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,高壓反應釜 SUS316L / 5000L C-29 機械設備製造業 (EEIO) machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,2590,2.59,已計算,"Total(TWD) 14,000,000 * kgCO2e/TWD"
Category 2 (Capital Goods),ASSET-10001,高壓反應釜,0,SUS316L / 5000L,1,unit,3500000,EPA/EEIO Asset Method,反應釜,C-29 機械設備製造業 (EEIO),0.000185,元,已匹配,係數對照表,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,高壓反應釜 SUS316L / 5000L C-29 機械設備製造業 (EEIO) machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,647.5,0.6475,已計算,"Total(TWD) 3,500,000 * kgCO2e/TWD"
Category 2 (Capital Goods),ASSET-10002,高壓反應釜,0.000185,SUS316L / 5000L,1,unit,3500000,EPA/EEIO Asset Method,反應釜,C-29 機械設備製造業 (EEIO),0.000185,元,已匹配,係數對照表,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,高壓反應釜 SUS316L / 5000L C-29 機械設備製造業 (EEIO) machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,647.5,0.6475,已計算,"Total(TWD) 3,500,000 * kgCO2e/TWD"
Category 2 (Capital Goods),ASSET-10003,工業離心分離機,0.000185,Vertical Batch / Explosion-Proof,3,unit,5400000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,1615.23652633619,1.61523652633619,已計算,"Total(TWD) 5,400,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10004,工業離心分離機,0.000185,Vertical Batch / Explosion-Proof,4,unit,7200000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,2153.64870178159,2.15364870178159,已計算,"Total(TWD) 7,200,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10005,高壓反應釜,0,SUS316L / 5000L,2,unit,7000000,EPA/EEIO Asset Method,反應釜,C-29 機械設備製造業 (EEIO),0.000185,元,已匹配,係數對照表,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,高壓反應釜 SUS316L / 5000L C-29 機械設備製造業 (EEIO) machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,1295,1.295,已計算,"Total(TWD) 7,000,000 * kgCO2e/TWD"
Category 2 (Capital Goods),ASSET-10006,工業離心分離機,0,Vertical Batch / Explosion-Proof,3,unit,5400000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,1615.23652633619,1.61523652633619,已計算,"Total(TWD) 5,400,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10007,工業離心分離機,0.000185,Vertical Batch / Explosion-Proof,1,unit,1800000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,538.412175445397,0.538412175445397,已計算,"Total(TWD) 1,800,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10008,工業離心分離機,0,Vertical Batch / Explosion-Proof,4,unit,7200000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,2153.64870178159,2.15364870178159,已計算,"Total(TWD) 7,200,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10009,工業離心分離機,0,Vertical Batch / Explosion-Proof,4,unit,7200000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,2153.64870178159,2.15364870178159,已計算,"Total(TWD) 7,200,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10010,工業離心分離機,0,Vertical Batch / Explosion-Proof,3,unit,5400000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,1615.23652633619,1.61523652633619,已計算,"Total(TWD) 5,400,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10011,高壓反應釜,0,SUS316L / 5000L,2,unit,7000000,EPA/EEIO Asset Method,反應釜,C-29 機械設備製造業 (EEIO),0.000185,元,已匹配,係數對照表,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,高壓反應釜 SUS316L / 5000L C-29 機械設備製造業 (EEIO) machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,1295,1.295,已計算,"Total(TWD) 7,000,000 * kgCO2e/TWD"
Category 2 (Capital Goods),ASSET-10012,工業離心分離機,0,Vertical Batch / Explosion-Proof,3,unit,5400000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,1615.23652633619,1.61523652633619,已計算,"Total(TWD) 5,400,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10013,高壓反應釜,0.000185,SUS316L / 5000L,5,unit,17500000,EPA/EEIO Asset Method,反應釜,C-29 機械設備製造業 (EEIO),0.000185,元,已匹配,係數對照表,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,高壓反應釜 SUS316L / 5000L C-29 機械設備製造業 (EEIO) machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,3237.5,3.2375,已計算,"Total(TWD) 17,500,000 * kgCO2e/TWD"
Category 2 (Capital Goods),ASSET-10014,工業離心分離機,0,Vertical Batch / Explosion-Proof,4,unit,7200000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.829097151756287,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,工業離心分離機 Vertical Batch / Explosion-Proof machinery equipment capital goods,procurement_workbook,化學與塑膠加工業,2153.64870178159,2.15364870178159,已計算,"Total(TWD) 7,200,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 1 (Purchased Goods),EXP-10015,乙烯單體 (Ethylene),0.000185,99.9% Purity,1137,t,31836000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,3192982.815072,3192.982815072,已計算,Qty 1137 t -> 1.137e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10016,乙烯單體 (Ethylene),0,99.9% Purity,763,t,21364000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,2142696.471328,2142.696471328,已計算,Qty 763 t -> 763000 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10017,工業級催化劑,0,Platinum Based / Powder,991,kg,1536050,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,1090153.514,1090.153514,已計算,Qty 991 kg -> 991 kg; * factor
Category 1 (Purchased Goods),EXP-10018,乙烯單體 (Ethylene),0,99.9% Purity,3148,t,88144000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,8840378.101888,8840.378101888,已計算,Qty 3148 t -> 3.148e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10019,乙烯單體 (Ethylene),0,99.9% Purity,486,t,13608000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,1364810.596416,1364.810596416,已計算,Qty 486 t -> 486000 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10020,工業級催化劑,0,Platinum Based / Powder,1940,kg,3007000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,2134104.76,2134.10476,已計算,Qty 1940 kg -> 1940 kg; * factor
Category 1 (Purchased Goods),EXP-10021,工業級催化劑,0,Platinum Based / Powder,3629,kg,5624950,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,3992095.966,3992.095966,已計算,Qty 3629 kg -> 3629 kg; * factor
Category 1 (Purchased Goods),EXP-10022,乙烯單體 (Ethylene),0,99.9% Purity,2476,t,69328000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,6953232.585856,6953.232585856,已計算,Qty 2476 t -> 2.476e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10023,ABS 樹脂顆粒,0,Injection Grade / High Impact,4336,t,182112000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,13441600,13441.6,已計算,Qty 4336 t -> 4.336e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10024,ABS 樹脂顆粒,0,Injection Grade / High Impact,2720,t,114240000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,8432000,8432,已計算,Qty 2720 t -> 2.72e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10025,乙烯單體 (Ethylene),3.1,99.9% Purity,5004,t,140112000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,14052494.289024,14052.494289024,已計算,Qty 5004 t -> 5.004e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10026,ABS 樹脂顆粒,3.1,Injection Grade / High Impact,1598,t,67116000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,4953800,4953.8,已計算,Qty 1598 t -> 1.598e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10027,工業級催化劑,0,Platinum Based / Powder,3131,kg,4853050,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,3444269.074,3444.269074,已計算,Qty 3131 kg -> 3131 kg; * factor
Category 1 (Purchased Goods),EXP-10028,ABS 樹脂顆粒,3.1,Injection Grade / High Impact,4241,t,178122000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,13147100,13147.1,已計算,Qty 4241 t -> 4.241e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10029,乙烯單體 (Ethylene),0,99.9% Purity,1739,t,48692000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,4883550.673184,4883.550673184,已計算,Qty 1739 t -> 1.739e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10030,乙烯單體 (Ethylene),3.1,99.9% Purity,4227,t,118356000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,11870482.286112,11870.482286112,已計算,Qty 4227 t -> 4.227e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10031,環氧樹脂 (Epoxy),0,E-44 Low Viscosity,3286,t,190588000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg ,Idemat,EU,2024,0.785190284252167,此為國際平均值，實際情況可能因地區而異,3,環氧樹脂 (Epoxy) E-44 Low Viscosity,procurement_workbook,化學與塑膠加工業,19874557.652566,19874.557652566,已計算,Qty 3286 t -> 3.286e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10032,ABS 樹脂顆粒,0,Injection Grade / High Impact,2553,t,107226000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,7914300,7914.3,已計算,Qty 2553 t -> 2.553e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10033,ABS 樹脂顆粒,0,Injection Grade / High Impact,4941,t,207522000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,15317100,15317.1,已計算,Qty 4941 t -> 4.941e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10034,環氧樹脂 (Epoxy),3.1,E-44 Low Viscosity,2161,t,125338000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg ,Idemat,EU,2024,0.785190284252167,此為國際平均值，實際情況可能因地區而異,3,環氧樹脂 (Epoxy) E-44 Low Viscosity,procurement_workbook,化學與塑膠加工業,13070273.611441,13070.273611441,已計算,Qty 2161 t -> 2.161e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10035,環氧樹脂 (Epoxy),3.1,E-44 Low Viscosity,261,t,15138000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg ,Idemat,EU,2024,0.785190284252167,此為國際平均值，實際情況可能因地區而異,3,環氧樹脂 (Epoxy) E-44 Low Viscosity,procurement_workbook,化學與塑膠加工業,1578593.897541,1578.593897541,已計算,Qty 261 t -> 261000 kg; * factor (公噸/t/mt 轉 kg)
