製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
電弧爐煉鋼製程-電弧爐,合金鐵,製程 (P),"12,519.2437",公噸,地磅紀錄,煉鋼課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,不鏽鋼盤元(不含酸洗與退火加工製程),1.42,kg,Taiwan EPA,TW,2017,0.836735129356384,,3,合金鐵 合金鐵 ferroalloy steel alloy 電弧爐煉鋼製程-電弧爐 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,17777326.054,17777.326054,已計算,活動數據 12519.2 公噸 -> 1.25192e+07 kg; * factor (公噸/t/mt 轉 kg)
電弧爐煉鋼製程-電弧爐,合金鐵,製程 (P),"51,778.1837",公噸,地磅紀錄,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,不鏽鋼盤元(不含酸洗與退火加工製程),1.42,kg,Taiwan EPA,TW,2017,0.836735129356384,,3,合金鐵 合金鐵 ferroalloy steel alloy 電弧爐煉鋼製程-電弧爐 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,73525020.854,73525.020854,已計算,活動數據 51778.2 公噸 -> 5.17782e+07 kg; * factor (公噸/t/mt 轉 kg)
電弧爐煉鋼製程-電弧爐,合金鐵,製程 (P),"15,357.6524",公噸,天然氣收費單,煉鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,不鏽鋼盤元(不含酸洗與退火加工製程),1.42,kg,Taiwan EPA,TW,2017,0.836735129356384,,3,合金鐵 合金鐵 ferroalloy steel alloy 電弧爐煉鋼製程-電弧爐 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,21807866.408,21807.866408,已計算,活動數據 15357.7 公噸 -> 1.53577e+07 kg; * factor (公噸/t/mt 轉 kg)
電弧爐煉鋼製程-電弧爐,石墨電極消耗,製程 (P),"2,429.3559",公噸,天然氣收費單,煉鋼課,連續量測,已匹配,標準門檻,2,Tier 2 - 國際產業,"welding steel, autogenious 0.0536 kg electrode",0.109,kg CO2e/m,FootprintCalc,Global,2023,0.799014806747437,此為國際平均值，實際情況可能因地區而異,3,石墨電極消耗 石墨電極消耗 graphite electrode graphite electrode 電弧爐煉鋼製程-電弧爐 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=kg CO2e/m"
電弧爐煉鋼製程-電弧爐,石墨電極消耗,製程 (P),"2,878.8790",公噸,地磅紀錄,環保課,連續量測,已匹配,標準門檻,2,Tier 2 - 國際產業,"welding steel, autogenious 0.0536 kg electrode",0.109,kg CO2e/m,FootprintCalc,Global,2023,0.799014806747437,此為國際平均值，實際情況可能因地區而異,3,石墨電極消耗 石墨電極消耗 graphite electrode graphite electrode 電弧爐煉鋼製程-電弧爐 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=kg CO2e/m"
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"5,339.8064",公噸,天然氣收費單,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.869405627250671,,3,石灰石 石灰石 limestone calcium carbonate 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"7,817.6127",公噸,天然氣收費單,軋鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.869405627250671,,3,石灰石 石灰石 limestone calcium carbonate 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"4,203.6033",公噸,天然氣收費單,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.869405627250671,,3,石灰石 石灰石 limestone calcium carbonate 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"3,050.5910",公噸,地磅紀錄,環保課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.869405627250671,,3,石灰石 石灰石 limestone calcium carbonate 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"4,476.0278",公噸,原料去向耗用表,煉鋼課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.800513863563538,,1,白雲石 白雲石 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
