製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"7,620.4170",千立方公尺,採購紀錄,生產課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.867004156112671,,3,天然氣 天然氣 natural gas 蒸煮製程-蒸煮鍋 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,19660675.86,19660.67586,已計算,活動數據 7620.42 千立方公尺 -> 7.62042e+06 m3; * factor (千立方公尺轉 m3)
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"16,352.6957",千立方公尺,採購紀錄,總務課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.867004156112671,,3,天然氣 天然氣 natural gas 蒸煮製程-蒸煮鍋 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,42189954.906,42189.954906,已計算,活動數據 16352.7 千立方公尺 -> 1.63527e+07 m3; * factor (千立方公尺轉 m3)
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"10,959.1351",千立方公尺,廢水申報,總務課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.867004156112671,,3,天然氣 天然氣 natural gas 蒸煮製程-蒸煮鍋 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,28274568.558,28274.568558,已計算,活動數據 10959.1 千立方公尺 -> 1.09591e+07 m3; * factor (千立方公尺轉 m3)
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"4,563.0198",千立方公尺,採購紀錄,總務課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.867004156112671,,3,天然氣 天然氣 natural gas 蒸煮製程-蒸煮鍋 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,11772591.084,11772.591084,已計算,活動數據 4563.02 千立方公尺 -> 4.56302e+06 m3; * factor (千立方公尺轉 m3)
殺菌製程-殺菌釜,天然氣,固定 (E),359.1226,千立方公尺,採購紀錄,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.872583210468292,,3,天然氣 天然氣 natural gas 殺菌製程-殺菌釜 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,926536.308,926.536308,已計算,活動數據 359.123 千立方公尺 -> 359123 m3; * factor (千立方公尺轉 m3)
殺菌製程-殺菌釜,天然氣,固定 (E),"2,208.9354",千立方公尺,天然氣收費單,生產課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.872583210468292,,3,天然氣 天然氣 natural gas 殺菌製程-殺菌釜 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,5699053.332,5699.053332,已計算,活動數據 2208.94 千立方公尺 -> 2.20894e+06 m3; * factor (千立方公尺轉 m3)
殺菌製程-殺菌釜,天然氣,固定 (E),"4,879.5633",千立方公尺,廢水申報,品保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.872583210468292,,3,天然氣 天然氣 natural gas 殺菌製程-殺菌釜 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,12589273.314,12589.273314,已計算,活動數據 4879.56 千立方公尺 -> 4.87956e+06 m3; * factor (千立方公尺轉 m3)
殺菌製程-殺菌釜,天然氣,固定 (E),"2,668.3735",千立方公尺,廢水申報,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.872583210468292,,3,天然氣 天然氣 natural gas 殺菌製程-殺菌釜 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,6884403.63,6884.40363,已計算,活動數據 2668.37 千立方公尺 -> 2.66837e+06 m3; * factor (千立方公尺轉 m3)
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),469.0441,公秉,天然氣收費單,品保課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.838370442390442,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 烘焙製程-隧道式烤爐 固定 (E) 公秉,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),58.1174,公秉,採購紀錄,品保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.838370442390442,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 烘焙製程-隧道式烤爐 固定 (E) 公秉,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),585.0695,公秉,天然氣收費單,品保課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.838370442390442,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 烘焙製程-隧道式烤爐 固定 (E) 公秉,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),490.0039,公秉,天然氣收費單,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.838370442390442,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 烘焙製程-隧道式烤爐 固定 (E) 公秉,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
乾燥製程-噴霧乾燥機,天然氣,固定 (E),"1,463.0451",千立方公尺,採購紀錄,總務課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.857627213001251,,3,天然氣 天然氣 natural gas 乾燥製程-噴霧乾燥機 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,3774656.358,3774.656358,已計算,活動數據 1463.05 千立方公尺 -> 1.46305e+06 m3; * factor (千立方公尺轉 m3)
乾燥製程-噴霧乾燥機,天然氣,固定 (E),"11,358.9312",千立方公尺,天然氣收費單,環保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.857627213001251,,3,天然氣 天然氣 natural gas 乾燥製程-噴霧乾燥機 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,29306042.496,29306.042496,已計算,活動數據 11358.9 千立方公尺 -> 1.13589e+07 m3; * factor (千立方公尺轉 m3)
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"24,340.0160",千立方公尺,購入發票,品保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),4.98,mt,Taiwan EPA,TW,2022,0.841918349266052,,3,天然氣 天然氣 natural gas 鍋爐蒸氣產生程序-燃氣鍋爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"12,997.6327",千立方公尺,採購紀錄,環保課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),4.98,mt,Taiwan EPA,TW,2022,0.841918349266052,,3,天然氣 天然氣 natural gas 鍋爐蒸氣產生程序-燃氣鍋爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"3,238.8569",千立方公尺,購入發票,品保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),4.98,mt,Taiwan EPA,TW,2022,0.841918349266052,,3,天然氣 天然氣 natural gas 鍋爐蒸氣產生程序-燃氣鍋爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_食品飲料業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
