standard_id,query,expected_tier_name,expected_factor_name,expected_scope3_category,top3_hit,first_choice_hit,hit_terms,result_tier,best_name,best_source,best_similarity,latency_sec
RB-00001,高壓反應釜 SUS316L / 5000L,係數對照表,C-29 機械設備製造業 (EEIO),Category 2 (Capital Goods),True,True,1:c-29 | 2:c-29 | 3:c-29,3,Machinery and equipment n.e.c. (29),EXIOBASE,0.77,0.0015565830000028313
RB-00002,高壓反應釜 SUS316L / 5000L,係數對照表,C-29 機械設備製造業 (EEIO),Category 2 (Capital Goods),True,True,1:c-29 | 2:c-29 | 3:c-29,3,Machinery and equipment n.e.c. (29),EXIOBASE,0.77,0.001380499999996232
RB-00003,高壓反應釜 SUS316L / 5000L,係數對照表,C-29 機械設備製造業 (EEIO),Category 2 (Capital Goods),True,True,1:c-29 | 2:c-29 | 3:c-29,3,Machinery and equipment n.e.c. (29),EXIOBASE,0.77,0.0013246250000022997
RB-00004,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.11229291599999414
RB-00005,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.11308008299999983
RB-00006,高壓反應釜 SUS316L / 5000L,係數對照表,C-29 機械設備製造業 (EEIO),Category 2 (Capital Goods),True,True,1:c-29 | 2:c-29 | 3:c-29,3,Machinery and equipment n.e.c. (29),EXIOBASE,0.77,0.0015248750000012024
RB-00007,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.11312099999999958
RB-00008,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.14930183300000266
RB-00009,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.1134084580000021
RB-00010,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.11268933399999526
RB-00011,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.11249200000000315
RB-00012,高壓反應釜 SUS316L / 5000L,係數對照表,C-29 機械設備製造業 (EEIO),Category 2 (Capital Goods),True,True,1:c-29 | 2:c-29 | 3:c-29,3,Machinery and equipment n.e.c. (29),EXIOBASE,0.77,0.0013890829999994025
