training_id,query,standard_name,major_category,top3_hit,first_choice_hit,hit_terms,result_tier,best_name,best_source,best_similarity,latency_sec
PI-0505,LED發光二極體,LED發光二極體,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.825253963470459,0.08722025000000144
PI-0506,LED發光二極體 pcs,LED發光二極體,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.8212199211120605,0.09231600000000029
PI-0507,LED發光二極體 常用規格,LED發光二極體,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.8040468692779541,0.0917117499999982
PI-0508,LED發光二極體-採購,LED發光二極體,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.8047763705253601,0.09304416599999854
PI-0517,光學透鏡,光學透鏡,光電材料,True,False,3:optical,2,Glass,Defra UK 2025,0.7331445217132568,0.08715995800000087
PI-0518,光學透鏡 pcs,光學透鏡,光電材料,True,False,2:plastic,2,PC 30% glass fibre,FootprintCalc,0.737790584564209,0.1300670420000003
PI-0519,光學透鏡 常用規格,光學透鏡,光電材料,True,False,2:optical,2,Glass,Defra UK 2025,0.7206653952598572,0.0902009580000005
PI-0520,光學透鏡-採購,光學透鏡,光電材料,True,False,2:optical | 3:optical,2,Glass,Defra UK 2025,0.7297247648239136,0.08974408300000292
PI-0513,光電二極體,光電二極體,光電材料,False,False,,2,LED light bulb 8 watt.,FootprintCalc,0.753404974937439,0.08685637499999999
PI-0514,光電二極體 pcs,光電二極體,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.7550448775291443,0.09029558299999962
PI-0515,光電二極體 常用規格,光電二極體,光電材料,False,False,,2,LED light bulb 8 watt.,FootprintCalc,0.7407773733139038,0.0900828330000003
PI-0516,光電二極體-採購,光電二極體,光電材料,True,True,1:optical,2,Optical Goods Stores,EPA Supply Chain v1.3.0,0.7300375699996948,0.09027183299999919
PI-0525,導光板,導光板,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.7873454093933105,0.08649133400000153
PI-0526,導光板 pcs,導光板,光電材料,False,False,,2,PCB = Printed Circuit Board (empty),Idemat,0.7842379212379456,0.08940258300000181
PI-0527,導光板 常用規格,導光板,光電材料,False,False,,2,LED light bulb 8 watt.,Idemat,0.7672451138496399,0.0895555409999993
PI-0528,導光板-採購,導光板,光電材料,False,False,,2,Other Lighting Equipment Manufacturing,EPA Supply Chain v1.3.0,0.7547476291656494,0.08906645899999788
PI-0521,擴散板,擴散板,光電材料,False,False,,2,Electrical items - small,Defra UK 2025,0.7768867015838623,0.08681262500000031
PI-0221,切斷砂輪,切斷砂輪,刀具磨料,False,False,,2,Cutting Al. shears,FootprintCalc,0.703231692314148,0.09223733299999992
PI-0222,切斷砂輪 pcs,切斷砂輪,刀具磨料,False,False,,2,"PCB of washing machine (including componenets, excluding ICs)",Idemat,0.7401164770126343,0.09632295800000179
PI-0223,切斷砂輪 常用規格,切斷砂輪,刀具磨料,False,False,,2,Cutting Al. shears,FootprintCalc,0.7209887504577637,0.09511970900000222
PI-0224,切斷砂輪-採購,切斷砂輪,刀具磨料,False,False,,2,"Scrap, collection&sorting (iron and glass)",FootprintCalc,0.7021605372428894,0.09635633299999924
PI-0233,拋光輪,拋光輪,刀具磨料,False,False,,2,Metal: aluminium cans and foil (excl. forming),Defra UK 2025,0.7006844282150269,0.09358083400000083
PI-0234,拋光輪 pcs,拋光輪,刀具磨料,False,False,,2,"PCB of washing machine (including componenets, excluding ICs)",Idemat,0.7514955997467041,0.09693912500000224
PI-0235,拋光輪 常用規格,拋光輪,刀具磨料,False,False,,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.8018937110900879,0.11063216599999848
PI-0236,拋光輪-採購,拋光輪,刀具磨料,False,False,,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.8160161972045898,0.11603745800000098
PI-0225,百葉砂輪片,百葉砂輪片,刀具磨料,False,False,,3,Ceramic goods,EXIOBASE,0.8456325531005859,0.11181729199999779
PI-0226,百葉砂輪片 pcs,百葉砂輪片,刀具磨料,False,False,,2,"PCB of laptop (including componenets, excluding ICs)",Idemat,0.7516875267028809,0.10096583400000014
PI-0227,百葉砂輪片 常用規格,百葉砂輪片,刀具磨料,False,False,,3,Ceramic goods,EXIOBASE,0.8586748242378235,0.11711037499999932
PI-0228,百葉砂輪片-採購,百葉砂輪片,刀具磨料,False,False,,3,Ceramic goods,EXIOBASE,0.8424363136291504,0.11904854200000159
PI-0217,砂輪片,砂輪片,刀具磨料,False,False,,3,Ceramic goods,EXIOBASE,0.8473364114761353,0.11193320900000003
PI-0218,砂輪片 pcs,砂輪片,刀具磨料,False,False,,2,"PCB of laptop (including componenets, excluding ICs)",Idemat,0.7495660781860352,0.10045991699999846
PI-0219,砂輪片 常用規格,砂輪片,刀具磨料,False,False,,2,Metal: aluminium cans and foil (excl. forming),Defra UK 2025,0.7086119055747986,0.09861245800000162
PI-0220,砂輪片-採購,砂輪片,刀具磨料,False,False,,3,Ceramic goods,EXIOBASE,0.8527065515518188,0.11543641700000151
PI-0229,研磨帶,研磨帶,刀具磨料,False,False,,3,Additives/Blending Components,EXIOBASE,0.8210619688034058,0.10914483400000208
PI-0421,EPE珍珠棉,EPE珍珠棉,包裝材料,True,False,2:paper,2,PLA (polylactide) pellets,Idemat,0.7749730348587036,0.08682766699999789
PI-0422,EPE珍珠棉 pcs,EPE珍珠棉,包裝材料,True,False,2:plastic | 3:plastic,2,PLA (polylactide) pellets,Idemat,0.7528010606765747,0.08953029100000265
PI-0423,EPE珍珠棉 常用規格,EPE珍珠棉,包裝材料,False,False,,2,pretreatment of cotton,Idemat,0.751459002494812,0.08733583299999736
PI-0424,EPE珍珠棉-採購,EPE珍珠棉,包裝材料,False,False,,2,PLA (polylactide) pellets,Idemat,0.7563180923461914,0.08995908400000019
PI-0413,PE塑膠袋,PE塑膠袋,包裝材料,True,True,1:plastic | 2:paper,2,"Flexible Polymeer Foam (PE), chemical upcycled",Idemat,0.7864344120025635,0.08645820800000337
PI-0414,PE塑膠袋 pcs,PE塑膠袋,包裝材料,True,True,1:plastic | 3:plastic,2,"Flexible Polymeer Foam (PE), chemical upcycled",Idemat,0.7936491966247559,0.08906845899999993
PI-0415,PE塑膠袋 常用規格,PE塑膠袋,包裝材料,True,True,1:plastic | 3:plastic,2,"Flexible Polymeer Foam (PE), chemical upcycled",Idemat,0.7974611520767212,0.08990749999999892
PI-0416,PE塑膠袋-採購,PE塑膠袋,包裝材料,True,True,1:plastic | 2:plastic,2,"Flexible Polymeer Foam (PE), chemical upcycled",Idemat,0.7792271375656128,0.08941062500000285
PI-0425,伸縮膜,伸縮膜,包裝材料,True,True,1:伸縮膜,1,伸縮膜(LLDPE),Taiwan EPA,1.0,0.07860424999999793
PI-0426,伸縮膜 pcs,伸縮膜,包裝材料,True,True,1:伸縮膜,1,伸縮膜(LLDPE),Taiwan EPA,1.0,0.08074116700000289
PI-0427,伸縮膜 常用規格,伸縮膜,包裝材料,True,True,1:伸縮膜,1,伸縮膜(LLDPE),Taiwan EPA,1.0,0.0802076249999999
PI-0428,伸縮膜-採購,伸縮膜,包裝材料,True,True,1:伸縮膜,1,伸縮膜(LLDPE),Taiwan EPA,1.0,0.0816664999999972
PI-0405,彩盒,彩盒,包裝材料,True,True,1:paper | 2:paper | 3:paper,2,"Corrugated board box making,  (excl the paper)",Idemat,0.7728062868118286,0.08693662499999988
PI-0406,彩盒 pcs,彩盒,包裝材料,True,True,1:paper,2,"Corrugated board box making,  (excl the paper)",Idemat,0.7412440776824951,0.09021437500000218
PI-0407,彩盒 常用規格,彩盒,包裝材料,True,True,1:paper | 2:paper,2,"Corrugated board box making,  (excl the paper)",Idemat,0.737368106842041,0.08798991699999803
PI-0408,彩盒-採購,彩盒,包裝材料,True,True,1:paper,2,"Corrugated board box making,  (excl the paper)",Idemat,0.7316387891769409,0.08884254200000186
PI-0429,打包帶,打包帶,包裝材料,True,True,1:paper | 2:paper | 3:paper,2,"Corrugated board box making,  (excl the paper)",Idemat,0.7657140493392944,0.087072083999999
PI-0241,切削油,切削油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09328616700000225
PI-0242,切削油 L,切削油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09592370800000083
PI-0243,切削油 常用規格,切削油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09496850000000023
