category,code,name,is_fixed_asset,ghg_category,description
機械及設備,3,機械及設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,01,工業機械及設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,01,鋼鐵煉製機械及設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,01,熔煉機械及設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,煉鐵鼓風爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,原料分配機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,熱風爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,除塵器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,離水器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,燒結機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,混合機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電氣製銑爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,混銑爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,加料用吊斗,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電弧爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,廢鐵大桶,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鑄桶,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼錠模,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,脫模推桿,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,乾燥爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,退火爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,攪拌機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,低週波爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,廢鐵打包機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電渣重熔系統(Ｅ‧Ｓ‧Ｒ),True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,主原料操作系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,吹管制作設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,啟動桿頭,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,噴補裝置,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,復軌設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,測氧設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,澆鑄粉添加設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,無渣出鋼設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,焰切機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,燃料噴吹系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,燒結礦冷卻機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,出鋼口設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,盛桶,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,真空管處理設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,破渣設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,緩衝器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,處理劑製造設備,True,2,機械設備通常為固定資產，屬於 Category 2
