Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
PI-0001,冷軋鋼板,冷軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0002,冷軋鋼板 kg,冷軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0003,冷軋鋼板 常用規格,冷軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0004,冷軋鋼板-採購,冷軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0005,熱軋鋼板,熱軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0006,熱軋鋼板 kg,熱軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0007,熱軋鋼板 常用規格,熱軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0008,熱軋鋼板-採購,熱軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0009,鍍鋅鋼板,鍍鋅鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0010,鍍鋅鋼板 kg,鍍鋅鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0011,鍍鋅鋼板 常用規格,鍍鋅鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0012,鍍鋅鋼板-採購,鍍鋅鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0013,SUS304不鏽鋼板,SUS304不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0014,SUS304不鏽鋼板 kg,SUS304不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0015,SUS304不鏽鋼板 常用規格,SUS304不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0016,SUS304不鏽鋼板-採購,SUS304不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0017,SUS316不鏽鋼板,SUS316不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0018,SUS316不鏽鋼板 kg,SUS316不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0019,SUS316不鏽鋼板 常用規格,SUS316不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0020,SUS316不鏽鋼板-採購,SUS316不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0021,鋁合金板6061,鋁合金板6061,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0022,鋁合金板6061 kg,鋁合金板6061,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
