Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
RP-0001,連結桿等12項單價開口契約,連結桿等12項單價開口契約,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,連結桿等12項單價開口契約 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614630；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0002,113年臺南市政府教育局校園數位內容及教學軟體-PaGamO素養學習_中、英文素養題組帳號授權、英文單字小超人帳號授權財物採購案,113年臺南市政府教育局校園數位內容及教學軟體-PaGamO素養學習_中、英文素養題組帳號授權、英文單字小超人帳號授權財物,資訊設備／軟體,計算機及其零件與配件,公開決標採購品名,計算機及其零件與配件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年臺南市政府教育局校園數位內容及教學軟體-PaGamO素養學習_中、英文素養題組帳號授權、英文單字小超人帳號授權財物 / 計算機及其零件與配件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614645；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0003,行政大樓空調設備及能源管理系統(EMS)設置案,行政大樓空調設備及能源管理系統(EMS)設置案,機械／零組件,氣體產生器;蒸餾設備;冷凍及空調設備;過濾機具,公開決標採購品名,氣體產生器;蒸餾設備;冷凍及空調設備;過濾機具,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,行政大樓空調設備及能源管理系統(EMS)設置案 / 氣體產生器 / 蒸餾設備 / 冷凍及空調設備 / 過濾機具 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614668；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
RP-0004,水晶體及預載植入器二年單價開口契約,水晶體及預載植入器二年單價開口契約,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,水晶體及預載植入器二年單價開口契約 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614674；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0005,113年無線網路基地台更新,113年無線網路基地台更新,資訊設備／軟體,計算機及其零件與配件,公開決標採購品名,計算機及其零件與配件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年無線網路基地台更新 / 計算機及其零件與配件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614678；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0006,苗栗縣113年校園數位內容與教學軟體-PaGamO閱讀素養_中文素養題組帳號授權採購案,苗栗縣113年校園數位內容與教學軟體-PaGamO閱讀素養_中文素養題組帳號授權,資訊設備／軟體,計算機及其零件與配件,公開決標採購品名,計算機及其零件與配件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,苗栗縣113年校園數位內容與教學軟體-PaGamO閱讀素養_中文素養題組帳號授權 / 計算機及其零件與配件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614683；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0007,專案藥品1項(分10批交貨),專案藥品1項(分10批交貨),醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,專案藥品1項(分10批交貨) / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614704；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0008,馬司血液淨化治療套組(或同等品),馬司血液淨化治療套組(或同等品),醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,馬司血液淨化治療套組(或同等品) / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614711；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0009,抑黴劑等試劑耗材乙批,抑黴劑等試劑耗材,醫療用品／藥品,基本化學產品,公開決標採購品名,基本化學產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,抑黴劑等試劑耗材 / 基本化學產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614713；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0010,礱穀機械設備新建工程,礱穀機械設備新建工程,機械／零組件,農業或林業機具及其零件,公開決標採購品名,農業或林業機具及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,礱穀機械設備新建工程 / 農業或林業機具及其零件 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614716；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
RP-0011,113學年度各年級空白簿本及美勞材料採購案,113學年度各年級空白簿本及美勞材料,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度各年級空白簿本及美勞材料 / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614728；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0012,微量離心管等試劑耗材乙批,微量離心管等試劑耗材,醫療用品／藥品,基本化學產品,公開決標採購品名,基本化學產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,微量離心管等試劑耗材 / 基本化學產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614730；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0013,麻醉機、病床及隧道式血壓計3項醫療設備,麻醉機、病床及隧道式血壓計3項醫療設備,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,麻醉機、病床及隧道式血壓計3項醫療設備 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614742；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0014,皮下針電極-雙針頭(或同等品),皮下針電極-雙針頭(或同等品),醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,皮下針電極-雙針頭(或同等品) / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614762；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0015,113年度「小型消防車1輛」財物採購案,113年度「小型消防車1輛」財物,機械／零組件,其他通用機具,公開決標採購品名,其他通用機具,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度「小型消防車1輛」財物 / 其他通用機具 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614764；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
RP-0016,洗衣機,洗衣機,其他財物,家用電器及其零件,公開決標採購品名,家用電器及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,洗衣機 / 家用電器及其零件 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614765；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0017,113年大湳廠鳶山堰1350原水水量計改善更新,113年大湳廠鳶山堰1350原水水量計改善更新,儀器／光學設備,做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器;工業程序控制設備;上述各項之零件及附件,公開決標採購品名,做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器;工業程序控制設備;上述各項之零件及附件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年大湳廠鳶山堰1350原水水量計改善更新 / 做為測量、檢查、航行及其他目的用之儀器和裝置 / 除光學儀器 / 工業程序控制設備 / 上述各項之零件及附件 / 儀器光電 / 儀器 / 光學設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614775；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,儀器光電
RP-0018,113年採購長臂剪枝機等一批,113年採購長臂剪枝機等,機械／零組件,農業或林業機具及其零件,公開決標採購品名,農業或林業機具及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年採購長臂剪枝機等 / 農業或林業機具及其零件 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614781；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
