Record ID,原始採購／標案名稱,標準品名候選,官方財物次分類,產業分類候選,採購品類候選,Scope 3候選,採購機關,公開案號,公開日期,決標金額(元),官方回查網址,來源紀錄ID,資料狀態,人工覆核註記
RP-0001,連結桿等12項單價開口契約,連結桿等12項單價開口契約,醫藥產品,醫療生技,醫療用品／藥品,範疇3 類別1,臺北榮民總醫院,1130147K,2024-06-30,89694070,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614630.xml,BDM-1-70614630,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0002,113年臺南市政府教育局校園數位內容及教學軟體-PaGamO素養學習_中、英文素養題組帳號授權、英文單字小超人帳號授權財物採購案,113年臺南市政府教育局校園數位內容及教學軟體-PaGamO素養學習_中、英文素養題組帳號授權、英文單字小超人帳號授權財物,計算機及其零件與配件,資訊電子,資訊設備／軟體,範疇3 類別1,臺南市北區開元國民小學,kyes1122011,2024-06-30,2546130,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614645.xml,BDM-1-70614645,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0003,行政大樓空調設備及能源管理系統(EMS)設置案,行政大樓空調設備及能源管理系統(EMS)設置案,氣體產生器;蒸餾設備;冷凍及空調設備;過濾機具,機械設備,機械／零組件,範疇3 類別1,國立東華大學,No113-0015,2024-06-30,30668652,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614668.xml,BDM-1-70614668,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0004,水晶體及預載植入器二年單價開口契約,水晶體及預載植入器二年單價開口契約,醫藥產品,醫療生技,醫療用品／藥品,範疇3 類別1,臺北榮民總醫院,1130202H,2024-06-30,15902250,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614674.xml,BDM-1-70614674,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0005,113年無線網路基地台更新,113年無線網路基地台更新,計算機及其零件與配件,資訊電子,資訊設備／軟體,範疇3 類別1,國立臺灣師範大學,NU311306130484,2024-06-30,3100000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614678.xml,BDM-1-70614678,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0006,苗栗縣113年校園數位內容與教學軟體-PaGamO閱讀素養_中文素養題組帳號授權採購案,苗栗縣113年校園數位內容與教學軟體-PaGamO閱讀素養_中文素養題組帳號授權,計算機及其零件與配件,資訊電子,資訊設備／軟體,範疇3 類別1,苗栗縣竹南鎮竹南國民小學,11306A04,2024-06-30,4305000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614683.xml,BDM-1-70614683,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0007,專案藥品1項(分10批交貨),專案藥品1項(分10批交貨),醫藥產品,醫療生技,醫療用品／藥品,範疇3 類別1,臺中榮民總醫院,IT24017368-H,2024-06-30,380000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614704.xml,BDM-1-70614704,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0008,馬司血液淨化治療套組(或同等品),馬司血液淨化治療套組(或同等品),醫藥產品,醫療生技,醫療用品／藥品,範疇3 類別1,國防醫學院,HJ13118P360,2024-06-30,6492465,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614711.xml,BDM-1-70614711,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0009,抑黴劑等試劑耗材乙批,抑黴劑等試劑耗材,基本化學產品,醫療生技,醫療用品／藥品,範疇3 類別1,國防醫學院,HE13262P059,2024-06-30,484848,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614713.xml,BDM-1-70614713,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0010,礱穀機械設備新建工程,礱穀機械設備新建工程,農業或林業機具及其零件,機械設備,機械／零組件,範疇3 類別1,線西鄉農會,1130517-01,2024-06-30,6880000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240701&fn=BDM-1-70614716.xml,BDM-1-70614716,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
