製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類
電弧爐煉鋼製程-電弧爐,合金鐵,製程 (P),"12,519.2437",公噸,地磅紀錄,煉鋼課,連續量測
電弧爐煉鋼製程-電弧爐,合金鐵,製程 (P),"51,778.1837",公噸,地磅紀錄,生產部門,定期(間歇)量測
電弧爐煉鋼製程-電弧爐,合金鐵,製程 (P),"15,357.6524",公噸,天然氣收費單,煉鋼課,定期(間歇)量測
電弧爐煉鋼製程-電弧爐,石墨電極消耗,製程 (P),"2,429.3559",公噸,天然氣收費單,煉鋼課,連續量測
電弧爐煉鋼製程-電弧爐,石墨電極消耗,製程 (P),"2,878.8790",公噸,地磅紀錄,環保課,連續量測
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"5,339.8064",公噸,天然氣收費單,生產部門,定期(間歇)量測
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"7,817.6127",公噸,天然氣收費單,軋鋼課,定期(間歇)量測
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"4,203.6033",公噸,天然氣收費單,生產部門,定期(間歇)量測
精煉製程-鋼桶精煉爐(LF),石灰石,製程 (P),"3,050.5910",公噸,地磅紀錄,環保課,定期(間歇)量測
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"4,476.0278",公噸,原料去向耗用表,煉鋼課,連續量測
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"2,334.4660",公噸,天然氣收費單,生產部門,定期(間歇)量測
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"9,080.6278",公噸,原料去向耗用表,生產部門,定期(間歇)量測
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"2,313.6464",公噸,天然氣收費單,軋鋼課,定期(間歇)量測
石灰煅燒製程-石灰窯,石灰石,製程 (P),"16,045.1348",公噸,天然氣收費單,環保課,連續量測
石灰煅燒製程-石灰窯,石灰石,製程 (P),"72,544.4704",公噸,天然氣收費單,生產部門,定期(間歇)量測
連續鑄造製程-鑄造機,天然氣,固定 (E),"9,815.2046",千立方公尺,購入發票,環保課,定期(間歇)量測
連續鑄造製程-鑄造機,天然氣,固定 (E),"10,837.5793",千立方公尺,天然氣收費單,生產部門,定期(間歇)量測
連續鑄造製程-鑄造機,天然氣,固定 (E),"1,887.3724",千立方公尺,購入發票,煉鋼課,定期(間歇)量測
加熱爐製程-軋延加熱爐,天然氣,固定 (E),"2,071.8393",千立方公尺,地磅紀錄,軋鋼課,定期(間歇)量測
加熱爐製程-軋延加熱爐,天然氣,固定 (E),"12,532.1811",千立方公尺,購入發票,生產部門,連續量測
加熱爐製程-軋延加熱爐,重油,固定 (E),524.4739,公秉,天然氣收費單,環保課,連續量測
加熱爐製程-軋延加熱爐,重油,固定 (E),758.2972,公秉,原料去向耗用表,煉鋼課,定期(間歇)量測
加熱爐製程-軋延加熱爐,重油,固定 (E),"1,085.7652",公秉,原料去向耗用表,環保課,定期(間歇)量測
加熱爐製程-軋延加熱爐,重油,固定 (E),130.8476,公秉,地磅紀錄,軋鋼課,定期(間歇)量測
鍋爐蒸氣產生程序-工業鍋爐,天然氣,固定 (E),"2,151.4407",千立方公尺,天然氣收費單,煉鋼課,定期(間歇)量測
鍋爐蒸氣產生程序-工業鍋爐,天然氣,固定 (E),"7,484.2942",千立方公尺,天然氣收費單,生產部門,連續量測
鍍鋅製程-鋅鍋加熱爐,液化石油氣,固定 (E),182.6922,公秉,地磅紀錄,生產部門,連續量測
鍍鋅製程-鋅鍋加熱爐,液化石油氣,固定 (E),491.4767,公秉,購入發票,軋鋼課,連續量測
鍍鋅製程-鋅鍋加熱爐,液化石油氣,固定 (E),238.0883,公秉,購入發票,環保課,連續量測
其他未分類製程-其他未歸類設施,其他電力,外購電力,"19,436.6427",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),13.2205,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),43.1920,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),5.6262,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),15.1678,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0345,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"608,743.4255",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.0996,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0058,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-獨立商用冷凍、冷藏裝備,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0036,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0119,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,PFC-14，四氟化碳，CF4,逸散 (F),0.0042,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0023,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0012,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0061,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0193,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0017,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"2,151,379.7822",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"19,198.1026",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"26,301.7868",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"5,026,173.0926",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"2,274,498.9543",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
