製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"7,620.4170",千立方公尺,採購紀錄,生產課,連續量測
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"16,352.6957",千立方公尺,採購紀錄,總務課,連續量測
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"10,959.1351",千立方公尺,廢水申報,總務課,連續量測
蒸煮製程-蒸煮鍋,天然氣,固定 (E),"4,563.0198",千立方公尺,採購紀錄,總務課,連續量測
殺菌製程-殺菌釜,天然氣,固定 (E),359.1226,千立方公尺,採購紀錄,總務課,定期(間歇)量測
殺菌製程-殺菌釜,天然氣,固定 (E),"2,208.9354",千立方公尺,天然氣收費單,生產課,連續量測
殺菌製程-殺菌釜,天然氣,固定 (E),"4,879.5633",千立方公尺,廢水申報,品保課,連續量測
殺菌製程-殺菌釜,天然氣,固定 (E),"2,668.3735",千立方公尺,廢水申報,總務課,定期(間歇)量測
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),469.0441,公秉,天然氣收費單,品保課,定期(間歇)量測
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),58.1174,公秉,採購紀錄,品保課,連續量測
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),585.0695,公秉,天然氣收費單,品保課,定期(間歇)量測
烘焙製程-隧道式烤爐,液化石油氣,固定 (E),490.0039,公秉,天然氣收費單,總務課,定期(間歇)量測
乾燥製程-噴霧乾燥機,天然氣,固定 (E),"1,463.0451",千立方公尺,採購紀錄,總務課,連續量測
乾燥製程-噴霧乾燥機,天然氣,固定 (E),"11,358.9312",千立方公尺,天然氣收費單,環保課,連續量測
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"24,340.0160",千立方公尺,購入發票,品保課,連續量測
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"12,997.6327",千立方公尺,採購紀錄,環保課,定期(間歇)量測
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"3,238.8569",千立方公尺,購入發票,品保課,連續量測
鍋爐蒸氣產生程序-燃氣鍋爐,天然氣,固定 (E),"23,470.6917",千立方公尺,採購紀錄,總務課,連續量測
鍋爐蒸氣產生程序-燃油鍋爐,重油,固定 (E),50.5813,公秉,購入發票,總務課,連續量測
鍋爐蒸氣產生程序-燃油鍋爐,重油,固定 (E),201.5861,公秉,天然氣收費單,總務課,連續量測
鍋爐蒸氣產生程序-燃油鍋爐,重油,固定 (E),"1,338.2274",公秉,採購紀錄,環保課,連續量測
鍋爐蒸氣產生程序-燃油鍋爐,重油,固定 (E),"1,021.6949",公秉,購入發票,環保課,定期(間歇)量測
碳酸飲料充填製程-CO2填充機,食品級CO2,製程 (P),539.5807,公噸,廢水申報,品保課,連續量測
碳酸飲料充填製程-CO2填充機,食品級CO2,製程 (P),41.4399,公噸,採購紀錄,品保課,連續量測
廢水處理程序-厭氧反應槽,尿素(肥料用),製程 (P),2.5624,公噸,廢水申報,環保課,定期(間歇)量測
廢水處理程序-厭氧反應槽,尿素(肥料用),製程 (P),25.2353,公噸,廢水申報,總務課,定期(間歇)量測
廢水處理程序-厭氧反應槽,尿素(肥料用),製程 (P),33.2160,公噸,採購紀錄,環保課,連續量測
發酵製程-發酵槽,甲烷(沼氣逸散),逸散 (F),0.9721,公噸,採購紀錄,環保課,定期(間歇)量測
發酵製程-發酵槽,甲烷(沼氣逸散),逸散 (F),1.9667,公噸,採購紀錄,生產課,定期(間歇)量測
發酵製程-發酵槽,甲烷(沼氣逸散),逸散 (F),0.8430,公噸,廢水申報,品保課,定期(間歇)量測
